Identified Proteins (1448)	Accession Number	Molecular Weight	Protein Grouping Ambiguity	Roco4_PO1
Ubiquitin carboxyl-terminal hydrolase OS=Dictyostelium discoideum GN=usp7 PE=3 SV=1	tr|Q869U4|Q869U4_DICDI	150 kDa	TRUE	0
Phosphate acetyltransferase (EC 2.3.1.8)	sp|P0A9M8|PTA_ECOLI	77 kDa		2
26S protease regulatory subunit 7 OS=Dictyostelium discoideum GN=psmC2 PE=1 SV=1	sp|Q86JA1|PRS7_DICDI	47 kDa	TRUE	5
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0204291 PE=3 SV=1	tr|Q54T87|Q54T87_DICDI	64 kDa	TRUE	1
Recoverin family protein DDB_G0272130 OS=Dictyostelium discoideum GN=DDB_G0272130 PE=1 SV=1	sp|Q86JE1|Y2130_DICDI	23 kDa		0
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0205764 PE=4 SV=1	tr|Q54WU2|Q54WU2_DICDI	53 kDa		0
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0202949 PE=4 SV=1	tr|Q551A9|Q551A9_DICDI	88 kDa	TRUE	5
MaoC-like dehydratase domain-containing protein OS=Dictyostelium discoideum GN=DDB_G0294627 PE=4 SV=1	tr|B0G197|B0G197_DICDI	23 kDa		2
Uridine phosphorylase OS=Dictyostelium discoideum GN=udpA PE=4 SV=1	tr|Q54PM8|Q54PM8_DICDI	27 kDa		4
Alpha adducin OS=Dictyostelium discoideum GN=ahhA PE=4 SV=1	tr|Q54T47|Q54T47_DICDI	30 kDa		2
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0204189 PE=4 SV=1	tr|Q54SN5|Q54SN5_DICDI	64 kDa		1
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0184238 PE=4 SV=1	tr|Q54DN0|Q54DN0_DICDI	31 kDa		1
Probable GH family 25 lysozyme 2 OS=Dictyostelium discoideum GN=DDB_G0274181 PE=3 SV=1	sp|Q86KC1|LYSG2_DICDI	23 kDa		2
Superoxide dismutase [Fe] (EC 1.15.1.1).	sp|P0AGD3|SODF_ECOLI	21 kDa		1
UDP-glucose 4-epimerase OS=Dictyostelium discoideum GN=galE PE=1 SV=1	sp|Q553X7|GALE_DICDI	38 kDa		1
Tubulin-specific chaperone B OS=Dictyostelium discoideum GN=tbcb PE=3 SV=1	sp|Q54Z01|TBCB_DICDI	30 kDa	TRUE	0
Transaldolase B (EC 2.2.1.2).	sp|P0A870|TALB_ECOLI	35 kDa		0
Sphingosine-1-phosphate lyase OS=Dictyostelium discoideum GN=sglA PE=2 SV=1	sp|Q54RV9|SGPL_DICDI	58 kDa		1
AMP deaminase OS=Dictyostelium discoideum GN=amdA PE=1 SV=1	sp|Q54DD0|AMPD_DICDI	91 kDa		6
30S ribosomal protein S3.	sp|P0A7V3|RS3_ECOLI	26 kDa		0
60S ribosomal protein L40 OS=Dictyostelium discoideum GN=ubqB PE=3 SV=1	sp|P14794|RL40_DICDI	6 kDa		2
AAA ATPase domain-containing protein OS=Dictyostelium discoideum GN=DDB_G0289047 PE=3 SV=1	tr|Q54I27|Q54I27_DICDI	89 kDa	TRUE	5
Activating signal cointegrator 1 complex subunit 3-like OS=Dictyostelium discoideum GN=ascc3l PE=3 SV=1	sp|Q55CI8|HELCL_DICDI	256 kDa	TRUE	1
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0206414 PE=4 SV=1	tr|Q54VS6|Q54VS6_DICDI	48 kDa		2
"TNF receptor-associated protein 1 homolog, mitochondrial OS=Dictyostelium discoideum GN=trap1 PE=2 SV=1"	sp|Q86L04|TRAP1_DICDI	80 kDa		3
General transcriptional corepressor tupA OS=Dictyostelium discoideum GN=tupA PE=2 SV=1	sp|O76734|TUP1_DICDI	65 kDa		1
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0218733 PE=4 SV=1	tr|Q54MY6|Q54MY6_DICDI	159 kDa		2
Putative mediator of RNA polymerase II transcription subunit 14 OS=Dictyostelium discoideum GN=med14 PE=3 SV=1	sp|P0CB66|MED14_DICDI (+1)	163 kDa		0
Eukaryotic translation initiation factor 4E OS=Dictyostelium discoideum GN=eif4e PE=3 SV=1	sp|Q55FE0|IF4E_DICDI	29 kDa		6
Putative uncharacterized protein DDB_G0293878 OS=Dictyostelium discoideum GN=DDB_G0293878 PE=4 SV=1	rsp|Q54B64|Y2175_DICDI	160 kDa		0
Nucleoporin 210 OS=Dictyostelium discoideum GN=nup210 PE=4 SV=1	tr|Q54IS9|Q54IS9_DICDI	213 kDa	TRUE	3
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0167855 PE=4 SV=1	tr|Q86J04|Q86J04_DICDI	64 kDa		2
SET domain-containing protein OS=Dictyostelium discoideum GN=cnrI PE=4 SV=1	tr|Q55D68|Q55D68_DICDI	64 kDa		3
Villidin OS=Dictyostelium discoideum GN=vilA PE=1 SV=2	sp|Q8WQ85|VILD_DICDI	191 kDa	TRUE	0
Probable ubiquitin carboxyl-terminal hydrolase OS=Dictyostelium discoideum GN=uch1 PE=3 SV=1	sp|Q54T48|UCHL_DICDI	29 kDa		2
Proteasome activator complex subunit 4 OS=Dictyostelium discoideum GN=psmE4 PE=4 SV=1	tr|Q54DB2|Q54DB2_DICDI	221 kDa		0
Dephospho-CoA kinase OS=Dictyostelium discoideum GN=DDB_G0285525 PE=4 SV=1	tr|Q54N39|Q54N39_DICDI	24 kDa		1
Villin headpiece domain-containing protein OS=Dictyostelium discoideum GN=DDB_G0278025 PE=4 SV=1	tr|Q54YX6|Q54YX6_DICDI	24 kDa		1
26S protease regulatory subunit 8 OS=Dictyostelium discoideum GN=psmC5 PE=1 SV=2	sp|P34124|PRS8_DICDI	45 kDa	TRUE	2
26S proteasome non-ATPase regulatory subunit 10 OS=Dictyostelium discoideum GN=psmD10 PE=2 SV=1	sp|Q54HW1|PSD10_DICDI	25 kDa	TRUE	2
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0215290 PE=4 SV=1	tr|Q54XF3|Q54XF3_DICDI	34 kDa		5
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0191714 PE=4 SV=1	tr|Q54CF7|Q54CF7_DICDI	55 kDa		2
Exportin-2 OS=Dictyostelium discoideum GN=xpo2 PE=3 SV=1	sp|Q54E36|XPO2_DICDI	108 kDa		1
Ubiquitin conjugating enzyme E2 B OS=Dictyostelium discoideum GN=ubcB PE=1 SV=1	sp|Q94490|UBCB_DICDI	17 kDa		2
Type-1 glutamine synthetase 2 OS=Dictyostelium discoideum GN=glnA2 PE=3 SV=1	sp|P0C7B6|GLNA2_DICDI (+1)	59 kDa		4
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0219276 PE=4 SV=1	tr|Q54JS9|Q54JS9_DICDI	38 kDa		1
"Probable cysteine desulfurase, mitochondrial OS=Dictyostelium discoideum GN=nfs1 PE=1 SV=1"	sp|Q54X04|NFS1_DICDI	50 kDa		2
Polyribonucleotide nucleotidyltransferas	sp|P05055|PNP_ECOLI	77 kDa	TRUE	0
Small GTPase OS=Dictyostelium discoideum GN=spg1 PE=4 SV=1	tr|Q54EY3|Q54EY3_DICDI	23 kDa		1
Ubiquitin OS=Dictyostelium discoideum GN=ubqA PE=1 SV=1	sp|P08618|UBIQ_DICDI	9 kDa		1
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0188677 PE=4 SV=1	tr|Q54GQ3|Q54GQ3_DICDI	43 kDa		4
"1-phosphatidylinositol-4,5-bisphosphate phosphodiesterase OS=Dictyostelium discoideum GN=plc PE=2 SV=1"	sp|Q02158|PLC_DICDI	91 kDa	TRUE	2
Ras-like protein rasB OS=Dictyostelium discoideum GN=rasB PE=1 SV=1	sp|P32252|RASB_DICDI	22 kDa	TRUE	5
Glucosamine-6-phosphate isomerase OS=Dictyostelium discoideum GN=gnpda1 PE=3 SV=1	sp|Q54XK9|GNPI_DICDI	31 kDa	TRUE	5
Galactitol-1-phosphate 5-dehydrogenase (	sp|P0A9S3|GATD_ECOLI	37 kDa		0
Ras-related protein Rab-2A OS=Dictyostelium discoideum GN=rab2A PE=2 SV=2	sp|P36409|RAB2A_DICDI	23 kDa		3
Methyltransferase type 11 domain-containing protein OS=Dictyostelium discoideum GN=DDB_0187734 PE=1 SV=1	tr|Q54JJ5|Q54JJ5_DICDI	29 kDa		1
Probable imidazolonepropionase OS=Dictyostelium discoideum GN=amdhd1 PE=3 SV=1	sp|Q55CY3|HUTI_DICDI	47 kDa		2
Alkyldihydroxyacetonephosphate synthase OS=Dictyostelium discoideum GN=eapA PE=1 SV=1	sp|O96759|ADAS_DICDI	69 kDa	TRUE	4
Proteasome subunit alpha type-2 OS=Dictyostelium discoideum GN=psmA2 PE=3 SV=1	sp|Q54DM7|PSA2_DICDI	26 kDa		0
Probable adenylate kinase B OS=Dictyostelium discoideum GN=adkB PE=3 SV=1	sp|Q54CT8|KADB_DICDI	26 kDa		1
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0167377 PE=4 SV=1	tr|Q86I71|Q86I71_DICDI	10 kDa		3
Serine/threonine-protein phosphatase 2A catalytic subunit A OS=Dictyostelium discoideum GN=pho2A PE=1 SV=1	sp|Q9XZE5|PP2AA_DICDI	35 kDa	TRUE	5
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0192224 PE=4 SV=1	tr|Q54B13|Q54B13_DICDI	13 kDa		2
V-type proton ATPase subunit G OS=Dictyostelium discoideum GN=atp6v1g PE=1 SV=2	sp|Q54Z13|VATG_DICDI	12 kDa		2
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0203978 PE=4 SV=1	tr|Q54UI8|Q54UI8_DICDI	32 kDa	TRUE	3
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0183829 PE=4 SV=1	tr|Q54EU0|Q54EU0_DICDI	46 kDa		3
Protein phosphatase 2C OS=Dictyostelium discoideum GN=DDB_0205493 PE=3 SV=1	tr|Q54Y00|Q54Y00_DICDI	33 kDa		4
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0191758 PE=4 SV=1	tr|Q54CB7|Q54CB7_DICDI	104 kDa		2
Protein LST8 homolog OS=Dictyostelium discoideum GN=lst8 PE=1 SV=1	sp|Q54D08|LST8_DICDI	33 kDa		3
Zinc-containing alcohol dehydrogenase OS=Dictyostelium discoideum GN=DDB_0168737 PE=4 SV=1	tr|Q75JW6|Q75JW6_DICDI	35 kDa	TRUE	6
Sucraseferredoxin-like family protein OS=Dictyostelium discoideum GN=DDB_0191047 PE=4 SV=1	tr|Q55BP2|Q55BP2_DICDI	36 kDa		0
3-hydroxy-3-methylglutaryl-coenzyme A reductase 2 OS=Dictyostelium discoideum GN=hmgB PE=2 SV=2	sp|P34136|HMDH2_DICDI	56 kDa	TRUE	3
5'3'-exonuclease N-and I-domain-containing protein OS=Dictyostelium discoideum GN=DDB_G0281151 PE=4 SV=1	tr|Q54UD1|Q54UD1_DICDI	87 kDa		2
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0188248 PE=4 SV=1	tr|Q54I12|Q54I12_DICDI	146 kDa		4
Myosin heavy chain kinase A OS=Dictyostelium discoideum GN=mhkA PE=1 SV=2	sp|P42527|MHCKA_DICDI	129 kDa	TRUE	0
Delta 9 fatty acid desaturase OS=Dictyostelium discoideum GN=DDB_0168056 PE=3 SV=1	tr|Q556T4|Q556T4_DICDI	90 kDa	TRUE	1
Spermidine synthase OS=Dictyostelium discoideum GN=spsA PE=3 SV=2	sp|Q9XY92|SPEE_DICDI	32 kDa		4
26S proteasome non-ATPase regulatory subunit 4 OS=Dictyostelium discoideum GN=psmD4 PE=2 SV=1	sp|Q553E0|PSMD4_DICDI	38 kDa		0
WH2 domain-containing protein OS=Dictyostelium discoideum GN=DDB_G0269708 PE=4 SV=1	tr|Q55DC0|Q55DC0_DICDI	31 kDa	TRUE	0
Squalene monooxygenase OS=Dictyostelium discoideum GN=sqle PE=4 SV=1	tr|Q54BK7|Q54BK7_DICDI	55 kDa	TRUE	4
60S ribosomal protein L31 OS=Dictyostelium discoideum GN=rpl31 PE=3 SV=1	sp|Q54XB5|RL31_DICDI	13 kDa		1
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0167144 PE=4 SV=1	tr|Q86IE7|Q86IE7_DICDI	34 kDa		1
Enolase (EC 4.2.1.11) (2-phosphoglycerat	sp|P0A6P9|ENO_ECOLI	46 kDa		0
Developmentally-regulated GTP-binding protein 2 homolog OS=Dictyostelium discoideum GN=drg2 PE=3 SV=1	sp|Q54WT4|DRG2_DICDI	41 kDa	TRUE	4
WD repeat domain phosphoinositide-interacting protein 3 OS=Dictyostelium discoideum GN=wdr45l PE=4 SV=1	tr|Q54SA0|Q54SA0_DICDI	39 kDa		0
PinA (Fragment) OS=Dictyostelium discoideum GN=pinA PE=2 SV=1	tr|P90527|P90527_DICDI (+1)	27 kDa		1
Coatomer subunit epsilon OS=Dictyostelium discoideum GN=cope PE=3 SV=1	sp|Q55FU2|COPE_DICDI	34 kDa		3
DnaJ homolog subfamily C member 7 homolog OS=Dictyostelium discoideum GN=dnajc7 PE=1 SV=1	sp|Q54IP0|DNJC7_DICDI	60 kDa		1
T-complex protein 1 subunit beta OS=Dictyostelium discoideum GN=cct2 PE=1 SV=1	sp|Q54ES9|TCPB_DICDI	58 kDa	TRUE	0
Stromal cell-derived factor 2-like protein OS=Dictyostelium discoideum GN=DDB_G0284847 PE=3 SV=1	sp|Q54P23|SDF2_DICDI	24 kDa		3
Tyrosine-tRNA ligase OS=Dictyostelium discoideum GN=tyrS PE=4 SV=1	tr|Q551A1|Q551A1_DICDI	44 kDa		1
GCN5-related N-acetyltransferase OS=Dictyostelium discoideum GN=DDB_0219556 PE=4 SV=1	tr|Q54G61|Q54G61_DICDI	36 kDa		3
Small heat shock protein hspL OS=Dictyostelium discoideum GN=hspL PE=3 SV=1	sp|Q55GH8|HSPL_DICDI	15 kDa		2
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0191909 PE=4 SV=1	tr|Q54BW3|Q54BW3_DICDI	48 kDa		0
O-methyltransferase 9 OS=Dictyostelium discoideum GN=omt9 PE=3 SV=1	sp|Q54GZ0|OMT9_DICDI	41 kDa		0
Guanine nucleotide-binding protein alpha-2 subunit OS=Dictyostelium discoideum GN=gpaB PE=1 SV=3	sp|P16051|GPA2_DICDI	41 kDa	TRUE	0
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0215292 PE=4 SV=1	rtr|Q54XF1|Q54XF1_DICDI	88 kDa		1
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0216735 PE=4 SV=1	tr|Q55CH6|Q55CH6_DICDI	187 kDa	TRUE	0
Ribose-phosphate pyrophosphokinase C OS=Dictyostelium discoideum GN=prsC PE=3 SV=1	sp|Q54QU9|PRPSC_DICDI	35 kDa		2
Gephyrin OS=Dictyostelium discoideum GN=gphn PE=3 SV=1	sp|Q54KM0|GEPH_DICDI	79 kDa		0
Exportin-4 OS=Dictyostelium discoideum GN=xpo4 PE=3 SV=1	sp|Q54UP5|XPO4_DICDI	130 kDa		2
Ubiquitin carboxyl-terminal hydrolase OS=Dictyostelium discoideum GN=usp40 PE=3 SV=1	tr|Q54H96|Q54H96_DICDI	190 kDa		4
NEDD8-activating enzyme E1 catalytic subunit OS=Dictyostelium discoideum GN=uba3 PE=3 SV=1	sp|Q54QG9|UBA3_DICDI	49 kDa	TRUE	4
"Citrate synthase, peroxisomal OS=Dictyostelium discoideum GN=cshA PE=2 SV=1"	sp|Q8MQU6|CISYP_DICDI	56 kDa		2
NAD-dependent epimerase/dehydratase family protein OS=Dictyostelium discoideum GN=DDB_0169112 PE=1 SV=1	tr|Q86AQ3|Q86AQ3_DICDI	37 kDa	TRUE	2
30S ribosomal protein S7.	sp|P02359|RS7_ECOLI	20 kDa		3
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0167842 PE=4 SV=1	tr|Q86J14|Q86J14_DICDI	35 kDa		2
cAMP-regulated D2 protein OS=Dictyostelium discoideum GN=D2 PE=2 SV=3	sp|P18142|D2_DICDI	60 kDa	TRUE	4
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0189873 PE=4 SV=1	tr|Q55F80|Q55F80_DICDI	99 kDa		8
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0205464 PE=4 SV=1	tr|Q54Y28|Q54Y28_DICDI	93 kDa		5
Cell surface glycoprotein gp138 OS=Dictyostelium discoideum GN=GP138C PE=4 SV=1	tr|O96070|O96070_DICDI	82 kDa	TRUE	3
AhpC/TSA family protein OS=Dictyostelium discoideum GN=DDB_G0279973 PE=4 SV=1	tr|Q54W09|Q54W09_DICDI	17 kDa	TRUE	0
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0191736 PE=4 SV=1	tr|Q54CD7|Q54CD7_DICDI	35 kDa		4
"Ribosomal protein L3, mitochondrial OS=Dictyostelium discoideum GN=mrpl3 PE=3 SV=1"	tr|Q54I61|Q54I61_DICDI	39 kDa		2
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0201905 PE=4 SV=1	tr|Q55CS1|Q55CS1_DICDI	16 kDa		2
50S ribosomal protein L15.	sp|P02413|RL15_ECOLI	15 kDa		0
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0188878 PE=3 SV=1	tr|Q54G44|Q54G44_DICDI	126 kDa	TRUE	2
Short-chain dehydrogenase/reductase family protein OS=Dictyostelium discoideum GN=DDB_0190188 PE=3 SV=1	tr|Q55E92|Q55E92_DICDI	31 kDa		0
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0219436 PE=1 SV=1	tr|Q54HJ0|Q54HJ0_DICDI	15 kDa	TRUE	4
Probable ATP-dependent RNA helicase ddx1 OS=Dictyostelium discoideum GN=ddx1 PE=3 SV=1	sp|Q55CP6|DDX1_DICDI	85 kDa		2
Putative uncharacterized protein gaa OS=Dictyostelium discoideum GN=gaa PE=4 SV=1	tr|Q55D50|Q55D50_DICDI	96 kDa		5
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0218666 PE=4 SV=1	tr|Q54NS5|Q54NS5_DICDI	23 kDa		1
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0186613 PE=4 SV=1	tr|Q54MX6|Q54MX6_DICDI	27 kDa		0
40S ribosomal protein S30 OS=Dictyostelium discoideum GN=rps30-1 PE=3 SV=1	sp|Q556Y1|RS30_DICDI	7 kDa		2
T-complex protein 1 subunit epsilon OS=Dictyostelium discoideum GN=cct5 PE=3 SV=1	sp|Q54TD3|TCPE_DICDI	59 kDa		0
Vacuolar protein sorting-associated protein 45 OS=Dictyostelium discoideum GN=vps45 PE=1 SV=1	sp|Q54GE3|VPS45_DICDI	65 kDa		2
COP9 signalosome complex subunit 8 OS=Dictyostelium discoideum GN=csn8 PE=1 SV=1	sp|Q75K24|CSN8_DICDI	23 kDa		2
Mitochondrial import inner membrane translocase subunit tim50 OS=Dictyostelium discoideum GN=timm50 PE=3 SV=1	sp|Q55C70|TIM50_DICDI	44 kDa		1
PI-PLC X-box domain-containing protein DDB_G0293730 OS=Dictyostelium discoideum GN=DDB_G0293730 PE=4 SV=2	sp|Q54BH5|Y3730_DICDI	84 kDa	TRUE	0
"Probable acetylornithine aminotransferase, mitochondrial OS=Dictyostelium discoideum GN=argD PE=3 SV=1"	sp|Q55DT8|ARGD_DICDI	50 kDa		5
TPR repeat-containing protein DDB_G0285095 OS=Dictyostelium discoideum GN=DDB_G0285095 PE=4 SV=1	sp|Q54NS3|Y5095_DICDI	30 kDa		2
Xaa-Pro aminopeptidase 1 OS=Dictyostelium discoideum GN=xpnpep1 PE=3 SV=1	sp|Q54G06|XPP1_DICDI	71 kDa	TRUE	4
50S ribosomal protein L10 (50S ribosomal	sp|P0A7J3|RL10_ECOLI	18 kDa		0
SH3 domain-containing protein OS=Dictyostelium discoideum GN=DDB_G0274805 PE=4 SV=1	tr|C7FZZ0|C7FZZ0_DICDI	40 kDa		7
Glutathione S-transferase (EC 2.5.1.18).	sp|P0A9D2|GST_ECOLI	23 kDa		0
Probable pyruvate-flavodoxin oxidoreduct	sp|P52647|NIFJ_ECOLI	129 kDa	TRUE	0
Probable acid phosphatase DDB_G0284755 OS=Dictyostelium discoideum GN=DDB_G0284755 PE=3 SV=2	sp|Q54P71|Y4755_DICDI	55 kDa	TRUE	3
CLPTM1-like membrane protein cnrB OS=Dictyostelium discoideum GN=cnrB PE=3 SV=1	sp|Q54RJ1|CNRB_DICDI	72 kDa		0
ORF1740 OS=Dictyostelium discoideum PE=4 SV=1	tr|Q23891|Q23891_DICDI	207 kDa	TRUE	1
ABC transporter C family member 3 OS=Dictyostelium discoideum GN=abcC3 PE=3 SV=1	sp|Q54JR2|ABCC3_DICDI	158 kDa	TRUE	2
Myosin heavy chain kinase C OS=Dictyostelium discoideum GN=mhkC PE=1 SV=1	sp|Q8MY12|MHCKC_DICDI	86 kDa		1
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0186893 PE=1 SV=1	tr|Q54M12|Q54M12_DICDI	122 kDa		3
Alanyl-tRNA synthetase (EC 6.1.1.7) (Ala	sp|P00957|SYA_ECOLI	96 kDa	TRUE	0
ABC transporter-related protein OS=Dictyostelium discoideum GN=abcF1 PE=4 SV=1	tr|Q8T6B8|Q8T6B8_DICDI	80 kDa		2
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0201928 PE=4 SV=1	tr|Q55CJ5|Q55CJ5_DICDI	119 kDa	TRUE	3
Coatomer subunit delta OS=Dictyostelium discoideum GN=copd PE=3 SV=1	sp|Q55EZ6|COPD_DICDI	60 kDa		5
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0183870 PE=4 SV=1	tr|Q54EQ2|Q54EQ2_DICDI	17 kDa		4
Probable phosphoglucomutase-2 OS=Dictyostelium discoideum GN=pgmB PE=3 SV=1	sp|Q54UQ2|PGM2_DICDI	68 kDa		4
TatD-related DNAse OS=Dictyostelium discoideum GN=DDB_0190416 PE=4 SV=2	tr|Q55DK1|Q55DK1_DICDI	39 kDa		1
Tetratricopeptide-like helical domain-containing protein OS=Dictyostelium discoideum GN=DG1091 PE=4 SV=1	tr|Q54HV0|Q54HV0_DICDI	211 kDa	TRUE	1
CDK5RAP1-like protein OS=Dictyostelium discoideum GN=cdk5rap1 PE=3 SV=1	rsp|Q54KV4|CK5P1_DICDI	70 kDa		0
Integrin beta-like protein C OS=Dictyostelium discoideum GN=sibC PE=1 SV=1	sp|Q54JA5|SIBC_DICDI	208 kDa	TRUE	1
Carbonic anhydrase OS=Dictyostelium discoideum GN=DDB_0203193 PE=3 SV=1	tr|Q555A3|Q555A3_DICDI	31 kDa		4
P-type ATPase OS=Dictyostelium discoideum GN=DDB_G0284605 PE=3 SV=1	tr|Q54PE8|Q54PE8_DICDI	102 kDa		4
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0188673 PE=4 SV=1	tr|Q54GQ7|Q54GQ7_DICDI	46 kDa	TRUE	2
Autocrine proliferation repressor protein A OS=Dictyostelium discoideum GN=aprA PE=1 SV=1	sp|Q5XM24|APRA_DICDI	55 kDa	TRUE	3
EGF-like domain-containing protein OS=Dictyostelium discoideum GN=DDB_0188629 PE=4 SV=1	tr|Q54GV4|Q54GV4_DICDI	167 kDa	TRUE	5
60S ribosomal protein L22 2 OS=Dictyostelium discoideum GN=rpl22a PE=3 SV=1	sp|Q54GK6|RL222_DICDI	13 kDa	TRUE	8
Mitochondrial genome maintenance protein mgm101 homolog OS=Dictyostelium discoideum GN=mgm101 PE=3 SV=1	sp|Q8MYF0|MG101_DICDI	43 kDa		1
"Tryptophanyl-tRNA synthetase, cytoplasmic OS=Dictyostelium discoideum GN=trpS PE=3 SV=1"	sp|Q55DZ8|SYWC_DICDI	46 kDa		0
Presporeless protein A OS=Dictyostelium discoideum GN=pslA PE=1 SV=1	sp|Q55FB8|PSLA_DICDI	149 kDa	TRUE	0
Dihydropyrimidinase OS=Dictyostelium discoideum GN=pyd2 PE=1 SV=1	sp|Q55DL0|DPYS_DICDI	56 kDa		4
Type A von Willebrand factor domain-containing protein OS=Dictyostelium discoideum GN=DDB_0205268 PE=1 SV=1	tr|Q54SU8|Q54SU8_DICDI	77 kDa	TRUE	1
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0190649 PE=4 SV=1	tr|Q55CV0|Q55CV0_DICDI	26 kDa		2
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0189251 PE=4 SV=1	tr|Q54F41|Q54F41_DICDI	79 kDa		2
Beta-hexosaminidase subunit A1 OS=Dictyostelium discoideum GN=hexa1 PE=1 SV=1	sp|P13723|HEXA1_DICDI	60 kDa		3
Translocase of outer mitochondrial membrane OS=Dictyostelium discoideum GN=tom40 PE=4 SV=1	tr|Q76P15|Q76P15_DICDI	36 kDa		4
Autophagy-related protein 7 OS=Dictyostelium discoideum GN=atg7 PE=3 SV=1	sp|Q86CR9|ATG7_DICDI	80 kDa		3
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0190795 PE=4 SV=1	tr|Q55CE9|Q55CE9_DICDI	61 kDa	TRUE	4
Putative uncharacterized protein adprt1A OS=Dictyostelium discoideum GN=adprt1A PE=4 SV=1	tr|Q54XI2|Q54XI2_DICDI (+1)	107 kDa	TRUE	2
Thioredoxin fold domain-containing protein OS=Dictyostelium discoideum GN=DDB_G0272418 PE=4 SV=1	tr|B0G106|B0G106_DICDI	15 kDa		2
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0188832 PE=4 SV=1	tr|Q54G88|Q54G88_DICDI	43 kDa		0
Inositol-3-phosphate synthase OS=Dictyostelium discoideum GN=ino1 PE=3 SV=1	sp|Q54N49|INO1_DICDI	57 kDa		0
Endoplasmic reticulum transmembrane protein YET-like OS=Dictyostelium discoideum GN=DDB_G0287543 PE=3 SV=2	sp|Q54K74|YETL_DICDI	24 kDa		6
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0167437 PE=4 SV=1	tr|Q86I26|Q86I26_DICDI	16 kDa		1
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0191803 PE=4 SV=1	tr|Q54C69|Q54C69_DICDI	25 kDa		2
50S ribosomal protein L1.	sp|P0A7L0|RL1_ECOLI	25 kDa		0
Eukaryotic translation initiation factor 3 subunit I OS=Dictyostelium discoideum GN=eif3i PE=3 SV=1	sp|Q54MT0|EIF3I_DICDI	37 kDa		0
ATPase subunit 4 OS=Dictyostelium discoideum GN=atp4 PE=4 SV=1	tr|A9CLV8|A9CLV8_DICDI	15 kDa		2
60S ribosomal protein L36 OS=Dictyostelium discoideum GN=rpl36 PE=3 SV=1	sp|Q55AQ9|RL36_DICDI	12 kDa		0
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0187641 PE=4 SV=1	tr|Q54JU2|Q54JU2_DICDI	27 kDa		2
Ubiquitin carboxyl-terminal hydrolase OS=Dictyostelium discoideum GN=usp14 PE=3 SV=1	tr|Q55BC4|Q55BC4_DICDI	58 kDa	TRUE	1
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_G0289609 PE=4 SV=1	tr|Q54H97|Q54H97_DICDI	16 kDa		1
"Peptidase M41, FtsH domain-containing protein OS=Dictyostelium discoideum GN=rcaA PE=4 SV=1"	tr|Q75JS8|Q75JS8_DICDI	94 kDa		2
