Identified Proteins (1603)	Accession Number	Molecular Weight	Protein Grouping Ambiguity	Ga4_PO
Arrestin domain-containing protein C OS=Dictyostelium discoideum GN=adcC PE=3 SV=1	sp|Q55CH0|ADCC_DICDI	74 kDa	TRUE	8
Rho-related protein racE OS=Dictyostelium discoideum GN=racE PE=1 SV=1	sp|Q23862|RACE_DICDI	24 kDa		5
60S ribosomal protein L27a OS=Dictyostelium discoideum GN=rpl27a PE=3 SV=1	sp|P48160|RL27A_DICDI	16 kDa		1
Eukaryotic peptide chain release factor subunit 1 OS=Dictyostelium discoideum GN=erf1 PE=2 SV=2	sp|Q9BMX0|ERF1_DICDI	49 kDa	TRUE	4
Guanine nucleotide-binding protein alpha-1 subunit OS=Dictyostelium discoideum GN=gpaA PE=2 SV=1	sp|P16894|GPA1_DICDI	40 kDa	TRUE	14
5'-3' exoribonuclease OS=Dictyostelium discoideum GN=xrn1 PE=4 SV=1	tr|Q75JF5|Q75JF5_DICDI	201 kDa	TRUE	13
26S protease regulatory subunit 6B homolog OS=Dictyostelium discoideum GN=psmC4 PE=1 SV=1	sp|P34123|PRS6B_DICDI	46 kDa	TRUE	16
Translocase of outer mitochondrial membrane OS=Dictyostelium discoideum GN=tom40 PE=4 SV=1	tr|Q76P15|Q76P15_DICDI	36 kDa		4
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0168344 PE=4 SV=2	tr|Q8T2R4|Q8T2R4_DICDI	17 kDa		2
60S ribosomal protein L8 OS=Dictyostelium discoideum GN=rpl8 PE=1 SV=2	sp|P13023|RL8_DICDI	28 kDa		4
Phenylalanine-4-hydroxylase OS=Dictyostelium discoideum GN=pah PE=1 SV=1	sp|Q54XS1|PH4H_DICDI	50 kDa		8
"Cysteinyl-tRNA synthetase, cytoplasmic OS=Dictyostelium discoideum GN=cysS PE=3 SV=1"	sp|Q54KR1|SYCC_DICDI	75 kDa		6
Lactose operon repressor.	sp|P03023|LACI_ECOLI	39 kDa		8
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0189873 PE=4 SV=1	tr|Q55F80|Q55F80_DICDI	99 kDa		9
"Methylcrotonoyl-CoA carboxylase subunit alpha, mitochondrial OS=Dictyostelium discoideum GN=mccA PE=3 SV=1"	sp|Q54KE6|MCCA_DICDI	77 kDa	TRUE	6
Formimidoyltransferase-cyclodeaminase OS=Dictyostelium discoideum GN=ftcd PE=3 SV=1	sp|Q54JL3|FTCD_DICDI	59 kDa		6
Formate-dihydrofolate ligase OS=Dictyostelium discoideum GN=fthS PE=3 SV=1	tr|Q54G53|Q54G53_DICDI	69 kDa	TRUE	6
Glycoprotein 130 OS=Dictyostelium discoideum GN=gp130 PE=1 SV=1	tr|Q95US4|Q95US4_DICDI	85 kDa	TRUE	10
Tetratricopeptide-like helical domain-containing protein OS=Dictyostelium discoideum GN=DDB_0167441 PE=4 SV=1	tr|Q869X1|Q869X1_DICDI	94 kDa	TRUE	8
Aconitate hydratase 2 (EC 4.2.1.3) (Citr	sp|P36683|ACON2_ECOLI	94 kDa	TRUE	14
Formate acetyltransferase 1 (EC 2.3.1.54	sp|P09373|PFLB_ECOLI	85 kDa	TRUE	13
40S ribosomal protein S7 OS=Dictyostelium discoideum GN=rps7 PE=3 SV=1	sp|Q54I41|RS7_DICDI	22 kDa	TRUE	3
"Elongation factor G, mitochondrial OS=Dictyostelium discoideum GN=gfm1 PE=3 SV=1"	sp|Q55E94|EFGM_DICDI	82 kDa	TRUE	15
60S ribosomal protein L18a OS=Dictyostelium discoideum GN=rpl18a PE=3 SV=2	sp|Q54MK8|RL18A_DICDI	20 kDa	TRUE	0
Protease degQ precursor (EC 3.4.21.-).	sp|P39099|DEGQ_ECOLI	47 kDa	TRUE	16
Uncharacterized protein DDB_G0283843 OS=Dictyostelium discoideum GN=DDB_G0283843 PE=4 SV=1	sp|Q54QG4|Y1747_DICDI	21 kDa		3
Eukaryotic translation initiation factor 5B OS=Dictyostelium discoideum GN=eif5b PE=3 SV=1	sp|Q54XP6|IF2P_DICDI	116 kDa	TRUE	7
Serine/threonine-protein phosphatase 2A regulatory subunit pppA OS=Dictyostelium discoideum GN=pppA PE=2 SV=1	sp|Q54QR9|2AAA_DICDI	65 kDa		2
"Isocitrate dehydrogenase [NAD] regulatory subunit B, mitochondrial OS=Dictyostelium discoideum GN=idhB PE=3 SV=1"	sp|Q54B68|IDHB_DICDI	39 kDa		5
Probable serine/threonine-protein kinase roco4 OS=Dictyostelium discoideum GN=roco4 PE=3 SV=1	sp|Q6XHB2|ROCO4_DICDI	193 kDa	TRUE	3
Cathepsin Z OS=Dictyostelium discoideum GN=ctsZ PE=1 SV=1	tr|Q54R55|Q54R55_DICDI	33 kDa		13
RNA-binding region RNP-1 domain-containing protein OS=Dictyostelium discoideum GN=DDB_G0291155 PE=1 SV=1	tr|Q54F26|Q54F26_DICDI	34 kDa		1
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0184335 PE=4 SV=1	tr|Q54DD1|Q54DD1_DICDI	48 kDa	TRUE	6
Myosin IC heavy chain OS=Dictyostelium discoideum GN=myoC PE=4 SV=2	sp|P42522|MYOC_DICDI	133 kDa	TRUE	14
Activator of 90 kDa heat shock protein ATPase homolog OS=Dictyostelium discoideum GN=ahsa PE=2 SV=1	sp|Q55DB6|AHSA_DICDI	43 kDa		9
"Histidyl-tRNA synthetase, cytoplasmic OS=Dictyostelium discoideum GN=hisS PE=3 SV=1"	sp|Q86AS6|SYHC_DICDI	54 kDa		4
Sucraseferredoxin-like family protein OS=Dictyostelium discoideum GN=DDB_0191047 PE=4 SV=1	tr|Q55BP2|Q55BP2_DICDI	36 kDa		6
"Elongation factor Ts, mitochondrial OS=Dictyostelium discoideum GN=tsfm PE=3 SV=1"	sp|Q54LV3|EFTS_DICDI	40 kDa		6
Probable nucleosome assembly protein OS=Dictyostelium discoideum GN=nap1 PE=2 SV=1	sp|Q55ED1|NAP1_DICDI	37 kDa		6
"Probable arginyl-tRNA synthetase, cytoplasmic OS=Dictyostelium discoideum GN=argS1 PE=3 SV=1"	sp|Q558Z0|SYRC_DICDI	67 kDa	TRUE	0
"Superoxide dismutase [Mn], mitochondrial OS=Dictyostelium discoideum GN=sod2 PE=3 SV=1"	sp|Q55BJ9|SODM_DICDI	25 kDa		2
Glyceraldehyde-3-phosphate dehydrogenase	sp|P0A9B2|G3P1_ECOLI	35 kDa	TRUE	13
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0218733 PE=4 SV=1	tr|Q54MY6|Q54MY6_DICDI	159 kDa	TRUE	14
Dihydroorotate dehydrogenase OS=Dictyostelium discoideum GN=pyr4 PE=3 SV=2	sp|P07670|PYRD_DICDI	41 kDa		3
Short-chain dehydrogenase/reductase family protein OS=Dictyostelium discoideum GN=DDB_0186029 PE=3 SV=1	tr|Q54PL1|Q54PL1_DICDI	30 kDa	TRUE	2
40S ribosomal protein S11 OS=Dictyostelium discoideum GN=rps11 PE=3 SV=1	sp|Q54S90|RS11_DICDI	18 kDa	TRUE	3
Serine hydroxymethyltransferase 2 OS=Dictyostelium discoideum GN=shmt2 PE=3 SV=1	sp|Q54EW1|GLYC2_DICDI	54 kDa	TRUE	3
30S ribosomal protein S4.	sp|P0A7V8|RS4_ECOLI	23 kDa		8
Proteasome subunit alpha type-5 OS=Dictyostelium discoideum GN=psmA5 PE=3 SV=1	sp|Q55G04|PSA5_DICDI	27 kDa		6
40S ribosomal protein S15a OS=Dictyostelium discoideum GN=rps15a PE=2 SV=3	sp|P46793|RS15A_DICDI	15 kDa		0
Glutamate/aspartate periplasmic-binding	sp|P37902|GLTI_ECOLI	33 kDa		13
Probable ATP-dependent RNA helicase ddx27 OS=Dictyostelium discoideum GN=ddx27 PE=3 SV=1	sp|Q54TJ4|DDX27_DICDI	90 kDa		15
Short-chain dehydrogenase/reductase family protein OS=Dictyostelium discoideum GN=DDB_0219578 PE=1 SV=1	tr|Q54FW2|Q54FW2_DICDI	32 kDa	TRUE	0
Chromosome partition protein mukB (Struc	sp|P22523|MUKB_ECOLI	170 kDa	TRUE	13
ABC transporter-related protein OS=Dictyostelium discoideum GN=abcF1 PE=4 SV=1	tr|Q8T6B8|Q8T6B8_DICDI	80 kDa	TRUE	14
Methionine synthase (EC 2.1.1.13) (5-met	sp|P13009|METH_ECOLI	136 kDa	TRUE	15
Cysteine proteinase 5 OS=Dictyostelium discoideum GN=cprE PE=2 SV=2	sp|P54640|CYSP5_DICDI	37 kDa		5
Lysine-sensitive aspartokinase III (EC 2	sp|P08660|AK3_ECOLI	49 kDa		14
Reticulon family protein OS=Dictyostelium discoideum GN=rtnlc PE=4 SV=1	tr|Q54CA6|Q54CA6_DICDI	35 kDa		6
Ubiquitin carboxyl-terminal hydrolase OS=Dictyostelium discoideum GN=DDB_G0293770 PE=3 SV=1	tr|B0G199|B0G199_DICDI (+1)	116 kDa	TRUE	6
Probable polyketide synthase 10 OS=Dictyostelium discoideum GN=pks10 PE=3 SV=1	rsp|B0G103|PKS10_DICDI	?	TRUE	3
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0188365 PE=4 SV=1	tr|Q54HN9|Q54HN9_DICDI	68 kDa	TRUE	7
"Probable acetylornithine aminotransferase, mitochondrial OS=Dictyostelium discoideum GN=argD PE=3 SV=1"	sp|Q55DT8|ARGD_DICDI	50 kDa		8
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0167453 PE=4 SV=1	tr|Q86I17|Q86I17_DICDI	31 kDa	TRUE	5
Myosin ID heavy chain OS=Dictyostelium discoideum GN=myoD PE=1 SV=2	sp|P34109|MYOD_DICDI	124 kDa	TRUE	6
50S ribosomal protein L4.	sp|P60723|RL4_ECOLI	22 kDa	TRUE	7
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0204740 PE=4 SV=1	tr|Q54UV0|Q54UV0_DICDI	147 kDa		7
Calcium-binding mitochondrial carrier protein OS=Dictyostelium discoideum GN=mcfO PE=3 SV=1	sp|Q54RB9|CMC_DICDI	86 kDa	TRUE	9
40S ribosomal protein S15 OS=Dictyostelium discoideum GN=rps15 PE=3 SV=1	sp|Q54N17|RS15_DICDI	16 kDa	TRUE	1
Mitochondrial substrate carrier family protein Q OS=Dictyostelium discoideum GN=mcfQ PE=2 SV=1	sp|Q76P23|PM34_DICDI	36 kDa		5
Protein transport protein SEC23 OS=Dictyostelium discoideum GN=sec23 PE=3 SV=2	sp|Q54T59|SEC23_DICDI	85 kDa		7
"Succinate dehydrogenase [ubiquinone] iron-sulfur subunit, mitochondrial OS=Dictyostelium discoideum GN=sdhB PE=3 SV=1"	sp|Q55CC2|DHSB_DICDI	32 kDa		3
26S proteasome non-ATPase regulatory subunit 10 OS=Dictyostelium discoideum GN=psmD10 PE=2 SV=1	sp|Q54HW1|PSD10_DICDI	25 kDa		3
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0184078 PE=4 SV=1	tr|Q54E45|Q54E45_DICDI	72 kDa		6
Probable imidazolonepropionase OS=Dictyostelium discoideum GN=amdhd1 PE=3 SV=1	sp|Q55CY3|HUTI_DICDI	47 kDa		7
Kynurenine--oxoglutarate transaminase OS=Dictyostelium discoideum GN=ccbl PE=3 SV=1	sp|Q54KM6|KAT_DICDI	49 kDa		4
Actin-related protein 2/3 complex subunit 3 OS=Dictyostelium discoideum GN=arcC PE=1 SV=1	sp|O96624|ARPC3_DICDI	20 kDa	TRUE	5
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_G0289265 PE=4 SV=1	tr|Q54HR9|Q54HR9_DICDI	52 kDa		5
40S ribosomal protein S26 OS=Dictyostelium discoideum GN=rps26 PE=3 SV=1	sp|Q54TL8|RS26_DICDI	13 kDa		1
Trigger factor (TF).	sp|P0A850|TIG_ECOLI	48 kDa	TRUE	9
N-acetyl-D-glucosamine kinase OS=Dictyostelium discoideum GN=nagk PE=3 SV=1	sp|Q54PM7|NAGK_DICDI	35 kDa		8
"HAD superfamily hydrolase-like, type 3 OS=Dictyostelium discoideum GN=DDB_0169374 PE=4 SV=1"	tr|Q86KT5|Q86KT5_DICDI	33 kDa		4
Putative leucine-rich repeat-containing protein DDB_G0290503 OS=Dictyostelium discoideum GN=DDB_G0290503 PE=4 SV=1	sp|Q54G05|LRRX1_DICDI	175 kDa	TRUE	13
Phox domain-containing protein OS=Dictyostelium discoideum GN=vps5 PE=1 SV=1	tr|Q86IF6|Q86IF6_DICDI	62 kDa		1
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0187661 PE=4 SV=1	tr|Q54JS1|Q54JS1_DICDI	52 kDa		1
SCF ubiquitin ligase complex protein SKP1a OS=Dictyostelium discoideum GN=fpaA PE=1 SV=1	sp|P52285|SKP1A_DICDI (+1)	19 kDa	TRUE	4
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0187205 PE=4 SV=1	tr|Q54L23|Q54L23_DICDI	191 kDa	TRUE	13
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0186893 PE=1 SV=1	tr|Q54M12|Q54M12_DICDI	122 kDa	TRUE	7
Profilin-2 OS=Dictyostelium discoideum GN=proB PE=1 SV=1	sp|P26200|PROF2_DICDI	13 kDa		0
Acyl-CoA oxidase OS=Dictyostelium discoideum GN=DDB_0169270 PE=4 SV=1	tr|Q8MMS1|Q8MMS1_DICDI	73 kDa		0
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0188719 PE=4 SV=1	tr|Q54GL1|Q54GL1_DICDI	175 kDa	TRUE	3
60S ribosomal protein L26 OS=Dictyostelium discoideum GN=rpl26 PE=3 SV=1	sp|Q54QM8|RL26_DICDI	16 kDa		3
GTP cyclohydrolase 1 OS=Dictyostelium discoideum GN=gchA PE=1 SV=2	sp|Q94465|GCH1_DICDI	26 kDa		5
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0216612 PE=4 SV=1	tr|Q55F29|Q55F29_DICDI	76 kDa		4
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0205008 PE=4 SV=1	tr|Q54RW1|Q54RW1_DICDI	48 kDa	TRUE	3
Phospholipase B-like protein E OS=Dictyostelium discoideum GN=plbE PE=3 SV=1	sp|Q54ZI6|PLBLE_DICDI	64 kDa	TRUE	3
Actin binding protein OS=Dictyostelium discoideum GN=enlA PE=4 SV=1	tr|Q75JH9|Q75JH9_DICDI	174 kDa	TRUE	8
40S ribosomal protein S18 OS=Dictyostelium discoideum GN=rps18 PE=3 SV=1	sp|Q869U7|RS18_DICDI	18 kDa		1
Aldehyde dehydrogenase OS=Dictyostelium discoideum GN=DDB_G0276305 PE=3 SV=1	tr|Q551V0|Q551V0_DICDI	69 kDa		3
Mannose-1-phosphate guanyltransferase alpha OS=Dictyostelium discoideum GN=gmppA PE=2 SV=1	sp|Q86HG0|GMPPA_DICDI	46 kDa		7
40S ribosomal protein S20 OS=Dictyostelium discoideum GN=rps20 PE=3 SV=1	sp|Q54Y41|RS20_DICDI	14 kDa		1
Armadillo-like helical domain-containing protein OS=Dictyostelium discoideum GN=DDB_0168059 PE=4 SV=1	tr|Q556T7|Q556T7_DICDI	231 kDa	TRUE	13
"Probable cysteine desulfurase, mitochondrial OS=Dictyostelium discoideum GN=nfs1 PE=1 SV=1"	sp|Q54X04|NFS1_DICDI	50 kDa	TRUE	8
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0169491 PE=4 SV=1	tr|Q75JJ3|Q75JJ3_DICDI	184 kDa	TRUE	11
Acyl-protein thioesterase 1 homolog 2 OS=Dictyostelium discoideum GN=DDB_G0268064 PE=2 SV=1	sp|Q55FK4|APT12_DICDI	25 kDa	TRUE	8
Nascent polypeptide-associated complex subunit alpha OS=Dictyostelium discoideum GN=nacA PE=3 SV=1	sp|Q54U07|NACA_DICDI	17 kDa	TRUE	1
Ubiquitin-protein ligase domain-containing protein OS=Dictyostelium discoideum GN=DDB_0187369 PE=4 SV=1	tr|Q54KP2|Q54KP2_DICDI	210 kDa	TRUE	12
Probable deoxyhypusine synthase OS=Dictyostelium discoideum GN=dhps PE=3 SV=1	sp|Q54MQ7|DHYS_DICDI	43 kDa		10
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0191758 PE=4 SV=1	tr|Q54CB7|Q54CB7_DICDI	104 kDa	TRUE	9
Alkyldihydroxyacetonephosphate synthase OS=Dictyostelium discoideum GN=eapA PE=1 SV=1	sp|O96759|ADAS_DICDI	69 kDa	TRUE	6
Probable E3 ubiquitin-protein ligase DDB_G0283893 OS=Dictyostelium discoideum GN=DDB_G0283893 PE=3 SV=2	sp|Q54QG5|Y3893_DICDI	658 kDa	TRUE	11
Tetratricopeptide-like helical domain-containing protein OS=Dictyostelium discoideum GN=DG1091 PE=4 SV=1	tr|Q54HV0|Q54HV0_DICDI	211 kDa	TRUE	16
NADH-cytochrome b5 reductase 1 OS=Dictyostelium discoideum GN=cyb5r1 PE=3 SV=1	sp|Q54NC1|NCB5R_DICDI	32 kDa	TRUE	7
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0189735 PE=4 SV=1	tr|Q55FM3|Q55FM3_DICDI	22 kDa		5
WD40 repeat-containing protein OS=Dictyostelium discoideum GN=DDB_0191760 PE=4 SV=1	tr|Q54CB5|Q54CB5_DICDI	274 kDa	TRUE	11
Prolyl-tRNA synthetase OS=Dictyostelium discoideum GN=proS PE=3 SV=1	tr|Q54Q07|Q54Q07_DICDI	62 kDa		1
Short-chain dehydrogenase/reductase family protein OS=Dictyostelium discoideum GN=DDB_0185652 PE=3 SV=1	tr|Q54QN6|Q54QN6_DICDI	27 kDa		6
Leucine-rich repeat protein lrrA OS=Dictyostelium discoideum GN=lrrA PE=1 SV=1	sp|Q54AX5|LRRA_DICDI	57 kDa	TRUE	2
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0190990 PE=4 SV=1	tr|Q55BV1|Q55BV1_DICDI	71 kDa		3
ATPase subunit 4 OS=Dictyostelium discoideum GN=atp4 PE=4 SV=1	tr|A9CLV8|A9CLV8_DICDI	15 kDa		1
UPF0505 protein OS=Dictyostelium discoideum GN=DDB_G0273473 PE=3 SV=1	sp|Q557H3|U505_DICDI	113 kDa	TRUE	13
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0190384 PE=3 SV=1	tr|Q55DN6|Q55DN6_DICDI	43 kDa	TRUE	3
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_G0271892 PE=4 SV=1	tr|Q869Z5|Q869Z5_DICDI	26 kDa		4
Kynureninase OS=Dictyostelium discoideum GN=kynu PE=3 SV=1	sp|Q54Q04|KYNU_DICDI	51 kDa		6
50S ribosomal protein L9.	sp|P0A7R1|RL9_ECOLI	16 kDa		4
Phosphomannomutase 1 OS=Dictyostelium discoideum GN=pmmA PE=3 SV=1	sp|Q54X03|PMM1_DICDI	29 kDa	TRUE	4
"Electron transfer flavoprotein subunit alpha, mitochondrial OS=Dictyostelium discoideum GN=etfa PE=3 SV=1"	sp|Q54FD7|ETFA_DICDI	38 kDa	TRUE	3
N-terminal delta endotoxin domain-containing protein OS=Dictyostelium discoideum GN=DDB_G0277083 PE=4 SV=1	tr|C7G000|C7G000_DICDI	56 kDa		9
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0204189 PE=4 SV=1	tr|Q54SN5|Q54SN5_DICDI	64 kDa		0
Proteasome subunit beta type-1 OS=Dictyostelium discoideum GN=psmB1 PE=3 SV=1	sp|Q86A21|PSB1_DICDI	26 kDa	TRUE	8
60S ribosomal protein L9 OS=Dictyostelium discoideum GN=rpl9 PE=1 SV=2	sp|Q54XI5|RL9_DICDI	21 kDa		3
Cytochrome c oxidase subunit 5 OS=Dictyostelium discoideum GN=cxeA PE=1 SV=3	sp|P29505|COX5_DICDI	13 kDa		0
Coatomer subunit beta OS=Dictyostelium discoideum GN=copb PE=2 SV=2	sp|Q23924|COPB_DICDI	103 kDa	TRUE	13
Uncharacterized protein DDB_G0289955 OS=Dictyostelium discoideum GN=DDB_G0289955 PE=4 SV=1	sp|Q54GR3|Y8668_DICDI	22 kDa	TRUE	5
26S proteasome non-ATPase regulatory subunit 4 OS=Dictyostelium discoideum GN=psmD4 PE=2 SV=1	sp|Q553E0|PSMD4_DICDI	38 kDa		4
COP9 signalosome complex subunit 2 OS=Dictyostelium discoideum GN=csn2 PE=1 SV=1	sp|Q54HL6|CSN2_DICDI	52 kDa	TRUE	7
DNA gyrase subunit A (EC 5.99.1.3).	sp|P0AES4|GYRA_ECOLI	97 kDa	TRUE	6
Protein phosphatase 1 regulatory subunit pprA OS=Dictyostelium discoideum GN=pprA PE=3 SV=1	sp|Q54Q39|PP1R7_DICDI	39 kDa		6
RasGTPase-activating protein OS=Dictyostelium discoideum GN=DG1112 PE=4 SV=1	tr|Q869U6|Q869U6_DICDI	121 kDa	TRUE	7
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0186819 PE=4 SV=1	tr|Q54M91|Q54M91_DICDI	92 kDa		9
Maleylacetoacetate isomerase OS=Dictyostelium discoideum GN=mai PE=3 SV=1	sp|Q54YN2|MAAI_DICDI	25 kDa		4
Ras-related protein Rab-32A OS=Dictyostelium discoideum GN=rab32A PE=1 SV=1	sp|Q54QR3|RB32A_DICDI	25 kDa		5
Acyl carrier protein (ACP) (Cytosolic-ac	sp|P0A6A8|ACP_ECOLI	9 kDa		11
Proteasome subunit beta type-7 OS=Dictyostelium discoideum GN=psmB7 PE=3 SV=1	sp|Q54QR2|PSB7_DICDI	29 kDa		5
Delta-aminolevulinic acid dehydratase OS=Dictyostelium discoideum GN=alad PE=3 SV=2	sp|Q55E06|HEM2_DICDI	37 kDa	TRUE	5
Ras-related GTP-binding protein OS=Dictyostelium discoideum GN=ragC PE=4 SV=1	tr|Q54PK6|Q54PK6_DICDI	41 kDa	TRUE	7
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0191728 PE=4 SV=1	tr|Q54CE3|Q54CE3_DICDI	179 kDa	TRUE	11
Prespore-specific protein OS=Dictyostelium discoideum GN=3B PE=4 SV=1	tr|Q9BI24|Q9BI24_DICDI	24 kDa	TRUE	2
Probable asparagine synthetase [glutamine-hydrolyzing] OS=Dictyostelium discoideum GN=asns PE=1 SV=1	sp|Q54MB4|ASNS_DICDI	63 kDa		0
Proteasomal ubiquitin receptor ADRM1 homolog OS=Dictyostelium discoideum GN=adrm1-1 PE=1 SV=1	sp|Q556N5|ADRM1_DICDI	32 kDa		6
Kynurenine 3-monooxygenase OS=Dictyostelium discoideum GN=kmo PE=3 SV=1	sp|Q54RE8|KMO_DICDI	52 kDa		2
Serine palmitoyltransferase 1 OS=Dictyostelium discoideum GN=sptA PE=3 SV=1	sp|Q55FL5|SPTC1_DICDI	54 kDa	TRUE	8
Probable ATP-dependent RNA helicase ddx1 OS=Dictyostelium discoideum GN=ddx1 PE=3 SV=1	sp|Q55CP6|DDX1_DICDI	85 kDa		11
Vacuolar protein sorting-associated protein 4 OS=Dictyostelium discoideum GN=vps4 PE=3 SV=1	sp|Q54PT2|VPS4_DICDI	50 kDa		3
Translation initiation factor eIF-2B alpha subunit OS=Dictyostelium discoideum GN=DDB_G0283309 PE=3 SV=1	tr|Q54R90|Q54R90_DICDI	39 kDa	TRUE	2
I/LWEQ domain-containing protein OS=Dictyostelium discoideum GN=hipA PE=4 SV=1	tr|Q1ZXE9|Q1ZXE9_DICDI	107 kDa	TRUE	7
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0216934 PE=4 SV=1	tr|Q869N7|Q869N7_DICDI	36 kDa	TRUE	4
Cytosolic purine 5'-nucleotidase OS=Dictyostelium discoideum GN=nt5c2 PE=3 SV=1	sp|Q54XC1|5NTC_DICDI	68 kDa		7
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0184122 PE=4 SV=1	tr|Q54DZ8|Q54DZ8_DICDI	55 kDa		6
"TNF receptor-associated protein 1 homolog, mitochondrial OS=Dictyostelium discoideum GN=trap1 PE=2 SV=1"	sp|Q86L04|TRAP1_DICDI	80 kDa	TRUE	7
40S ribosomal protein S24 OS=Dictyostelium discoideum GN=rps24 PE=3 SV=1	sp|Q75K27|RS24_DICDI	14 kDa		0
Diphosphomevalonate decarboxylase OS=Dictyostelium discoideum GN=mvd PE=3 SV=1	sp|Q54YQ9|ERG19_DICDI	43 kDa		1
Hydroxyacylglutathione hydrolase OS=Dictyostelium discoideum GN=hagh PE=3 SV=1	sp|Q54MR1|GLO2_DICDI	30 kDa		4
Pyrroline-5-carboxylate reductase 2 OS=Dictyostelium discoideum GN=pycr2 PE=3 SV=1	sp|Q55E34|P5CR2_DICDI	32 kDa		4
Sulfate adenylyltransferase OS=Dictyostelium discoideum GN=DDB_G0291029 PE=1 SV=1	tr|Q54F74|Q54F74_DICDI	66 kDa	TRUE	0
Guanine deaminase OS=Dictyostelium discoideum GN=guaD PE=3 SV=1	sp|Q86AW9|GUAD_DICDI	51 kDa		4
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0215290 PE=4 SV=1	tr|Q54XF3|Q54XF3_DICDI	34 kDa	TRUE	9
Senescence marker protein-30 family protein OS=Dictyostelium discoideum GN=rgn PE=4 SV=1	tr|Q54ZP3|Q54ZP3_DICDI	36 kDa		4
Probable cytochrome b-c1 complex subunit 7 OS=Dictyostelium discoideum GN=DDB_G0286171 PE=3 SV=1	sp|Q54M82|QCR7_DICDI	13 kDa		0
60S ribosomal protein L35a OS=Dictyostelium discoideum GN=rpl35a PE=3 SV=1	sp|Q55BN7|RL35A_DICDI	12 kDa		0
60S ribosomal protein L23 OS=Dictyostelium discoideum GN=rpl23 PE=3 SV=1	sp|Q54G86|RL23_DICDI	15 kDa		2
2-oxoglutarate dehydrogenase E1 componen	sp|P0AFG3|ODO1_ECOLI	105 kDa		11
Putative uncharacterized protein adprt1A OS=Dictyostelium discoideum GN=adprt1A PE=4 SV=1	tr|Q54XI2|Q54XI2_DICDI (+1)	107 kDa	TRUE	11
SH3 domain-containing protein OS=Dictyostelium discoideum GN=docA PE=4 SV=1	tr|Q54DS6|Q54DS6_DICDI	248 kDa	TRUE	13
Protein transport protein Sec61 subunit alpha OS=Dictyostelium discoideum GN=sec61a PE=3 SV=1	sp|Q54XK2|SC61A_DICDI	52 kDa		7
3-dehydroquinate synthase (EC 4.2.3.4).	sp|P07639|AROB_ECOLI	39 kDa	TRUE	11
V-type proton ATPase subunit D OS=Dictyostelium discoideum GN=atp6v1d PE=1 SV=1	sp|Q86A77|VATD_DICDI	29 kDa	TRUE	3
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0183829 PE=4 SV=1	tr|Q54EU0|Q54EU0_DICDI	46 kDa		7
Type A von Willebrand factor domain-containing protein OS=Dictyostelium discoideum GN=DDB_G0286613 PE=4 SV=1	tr|Q54LJ4|Q54LJ4_DICDI	284 kDa	TRUE	6
Protein VASP homolog OS=Dictyostelium discoideum GN=vasp PE=1 SV=1	sp|Q5TJ65|VASP_DICDI	39 kDa		5
AP-3 complex subunit delta OS=Dictyostelium discoideum GN=ap3d1 PE=3 SV=1	sp|Q54WN0|AP3D_DICDI	128 kDa	TRUE	5
Glutamate-ammonia-ligase adenylyltransfe	sp|P30870|GLNE_ECOLI	108 kDa		7
Coatomer subunit beta' OS=Dictyostelium discoideum GN=copb2 PE=3 SV=1	sp|Q54YD8|COPB2_DICDI	113 kDa	TRUE	7
Dual specificity protein kinase shkC OS=Dictyostelium discoideum GN=shkC PE=3 SV=1	sp|Q54Y55|SHKC_DICDI	57 kDa		6
