Identified Proteins (1436)	Accession Number	Molecular Weight	Protein Grouping Ambiguity	Galpha8-GppNHp
"Peptidase M41, FtsH domain-containing protein OS=Dictyostelium discoideum GN=DDB_G0284249 PE=4 SV=1"	tr|Q54PX1|Q54PX1_DICDI	86 kDa	TRUE	0
Calcium-transporting ATPase PAT1 OS=Dictyostelium discoideum GN=patA PE=2 SV=2	sp|P54678|ATC1_DICDI	121 kDa		0
NADH-ubiquinone oxidoreductase chain 1 OS=Dictyostelium citrinum GN=nad1 PE=3 SV=1	sp|Q2LCR1|NU1M_DICCI	35 kDa		0
Putative uncharacterized protein darA OS=Dictyostelium discoideum GN=darA PE=4 SV=1	tr|O76187|O76187_DICDI	88 kDa		2
Cysteine proteinase 5 OS=Dictyostelium discoideum GN=cprE PE=2 SV=2	sp|P54640|CYSP5_DICDI	37 kDa		0
Putative ras-related protein Rab-5B OS=Dictyostelium discoideum GN=rab5B PE=5 SV=1	sp|Q54RX9|RAB5B_DICDI	23 kDa		3
NOL1/NOP2/Sun family protein OS=Dictyostelium discoideum GN=DDB_G0295715 PE=4 SV=1	tr|C7G023|C7G023_DICDI (+1)	89 kDa		0
Amidophosphoribosyltransferase OS=Dictyostelium discoideum GN=purF PE=3 SV=1	sp|Q86A85|PUR1_DICDI	57 kDa		3
Uridine phosphorylase OS=Dictyostelium discoideum GN=udpA PE=4 SV=1	tr|Q54PM8|Q54PM8_DICDI	27 kDa		0
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0187827 PE=4 SV=1	tr|Q54J99|Q54J99_DICDI	53 kDa		2
Protein LST8 homolog OS=Dictyostelium discoideum GN=lst8 PE=1 SV=1	sp|Q54D08|LST8_DICDI	33 kDa		0
Probable allantoinase 1 OS=Dictyostelium discoideum GN=allB1 PE=3 SV=1	sp|Q54SV3|ALN1_DICDI	72 kDa	TRUE	0
3-ketodihydrosphingosine reductase OS=Dictyostelium discoideum GN=ksrA-1 PE=3 SV=1	sp|Q556J2|KDSR_DICDI	36 kDa		2
"Ribosomal protein L3, mitochondrial OS=Dictyostelium discoideum GN=mrpl3 PE=3 SV=1"	tr|Q54I61|Q54I61_DICDI	39 kDa		6
Nicotinate phosphoribosyltransferase OS=Dictyostelium discoideum GN=naprt PE=2 SV=1	sp|Q55G10|PNCB_DICDI	66 kDa		0
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0204189 PE=4 SV=1	tr|Q54SN5|Q54SN5_DICDI	64 kDa		0
Probable 2-hydroxyacyl-CoA lyase 1 OS=Dictyostelium discoideum GN=hacl1 PE=3 SV=1	sp|Q54DA9|HACL1_DICDI	63 kDa		2
Small MutS related family protein OS=Dictyostelium discoideum GN=DDB_G0288821 PE=4 SV=1	tr|Q54ID5|Q54ID5_DICDI	35 kDa		9
26S protease regulatory subunit 7 OS=Dictyostelium discoideum GN=psmC2 PE=1 SV=1	sp|Q86JA1|PRS7_DICDI	47 kDa	TRUE	3
Translocon-associated protein subunit beta OS=Dictyostelium discoideum GN=ssr2 PE=2 SV=2	sp|Q54VI6|SSRB_DICDI	21 kDa		0
LIM domain-containing protein C OS=Dictyostelium discoideum GN=limC PE=2 SV=1	sp|Q9BIW5|LIMC_DICDI	21 kDa		5
Methyltransferase type 11 domain-containing protein OS=Dictyostelium discoideum GN=DDB_0187734 PE=1 SV=1	tr|Q54JJ5|Q54JJ5_DICDI	29 kDa	TRUE	6
Uracil phosphoribosyltransferase OS=Dictyostelium discoideum GN=uprt PE=3 SV=1	sp|Q55GQ6|UPP_DICDI	24 kDa		2
Glutathione S-transferase domain-containing protein OS=Dictyostelium discoideum GN=DDB_0168319 PE=1 SV=1	tr|Q86JB5|Q86JB5_DICDI	34 kDa		2
Citrate lyase subunit beta-like protein OS=Dictyostelium discoideum GN=clybl PE=4 SV=1	tr|Q54Q74|Q54Q74_DICDI	41 kDa		7
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0184511 PE=4 SV=1	tr|Q54CW1|Q54CW1_DICDI	19 kDa		5
"3'(2'),5'-bisphosphate nucleotidase 1 OS=Dictyostelium discoideum GN=bpnt1 PE=3 SV=1"	sp|Q869K3|BPNT1_DICDI	34 kDa		0
Protein ydgH precursor.	sp|P76177|YDGH_ECOLI	34 kDa		6
"Glutathione-dependent formaldehyde-activating, GFA family protein OS=Dictyostelium discoideum GN=DDB_0205205 PE=4 SV=1"	tr|Q54VC9|Q54VC9_DICDI	17 kDa		5
Protein recA (Recombinase A).	sp|P0A7G6|RECA_ECOLI	38 kDa		2
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0191909 PE=4 SV=1	tr|Q54BW3|Q54BW3_DICDI	48 kDa		2
Probable GH family 25 lysozyme 2 OS=Dictyostelium discoideum GN=DDB_G0274181 PE=3 SV=1	sp|Q86KC1|LYSG2_DICDI	23 kDa		0
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_G0271892 PE=4 SV=1	tr|Q869Z5|Q869Z5_DICDI	26 kDa		0
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0168980 PE=4 SV=1	tr|Q86B07|Q86B07_DICDI	64 kDa		0
HEAT repeat-containing protein 7A homolog OS=Dictyostelium discoideum GN=heatr7a PE=4 SV=1	sp|Q54F23|HTR7A_DICDI	186 kDa		0
DNA-directed RNA polymerase alpha chain	sp|P0A7Z4|RPOA_ECOLI	37 kDa		9
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0168012 PE=4 SV=1	rtr|Q556N9|Q556N9_DICDI	108 kDa	TRUE	2
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0217812 PE=4 SV=1	tr|Q86HW2|Q86HW2_DICDI	75 kDa		0
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0203037 PE=4 SV=1	rtr|Q556V5|Q556V5_DICDI	219 kDa		0
Ras GTPase-activating-like protein gapA OS=Dictyostelium discoideum GN=gapA PE=1 SV=1	sp|O00899|GAPA_DICDI	99 kDa	TRUE	2
50S ribosomal protein L3.	sp|P60438|RL3_ECOLI	22 kDa		4
Peroxisomal membrane protein 11 homolog OS=Dictyostelium discoideum GN=pex11 PE=3 SV=1	sp|Q54H86|PEX11_DICDI	29 kDa	TRUE	4
RuvB-like helicase 2 OS=Dictyostelium discoideum GN=rvb2 PE=3 SV=1	sp|Q54UW5|RUVB2_DICDI	52 kDa		0
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0217880 PE=4 SV=1	rtr|Q550P6|Q550P6_DICDI	135 kDa	TRUE	0
cAMP-binding protein 2 OS=Dictyostelium discoideum GN=capB PE=1 SV=2	sp|P34122|CAP2_DICDI	31 kDa	TRUE	0
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0217534 PE=1 SV=1	tr|Q555G2|Q555G2_DICDI	108 kDa		0
Type-1 glutamine synthetase 2 OS=Dictyostelium discoideum GN=glnA2 PE=3 SV=1	sp|P0C7B6|GLNA2_DICDI (+1)	59 kDa	TRUE	0
"Probable glycerol-3-phosphate dehydrogenase, mitochondrial OS=Dictyostelium discoideum GN=DDB_G0283951 PE=3 SV=1"	sp|Q54QC1|GPDM_DICDI	71 kDa		0
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0190795 PE=4 SV=1	tr|Q55CE9|Q55CE9_DICDI	61 kDa	TRUE	0
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0219348 PE=4 SV=1	tr|Q54IW4|Q54IW4_DICDI	75 kDa		3
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0184446 PE=4 SV=1	tr|Q54D27|Q54D27_DICDI	40 kDa		2
Vacuolin-A OS=Dictyostelium discoideum GN=vacA PE=1 SV=1	sp|O15706|VACA_DICDI	66 kDa	TRUE	2
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0190749 PE=4 SV=1	tr|Q55CK0|Q55CK0_DICDI	31 kDa	TRUE	4
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0186806 PE=4 SV=1	tr|Q54MA4|Q54MA4_DICDI	59 kDa		0
30S ribosomal protein S4.	sp|P0A7V8|RS4_ECOLI	23 kDa	TRUE	4
MaoC-like dehydratase domain-containing protein OS=Dictyostelium discoideum GN=DDB_G0294627 PE=4 SV=1	tr|B0G197|B0G197_DICDI	23 kDa		4
NADH-ubiquinone oxidoreductase subunit 9 OS=Dictyostelium discoideum GN=nad9 PE=3 SV=1	sp|P22237|NDUS3_DICDI	25 kDa		2
Beta-xylosidase-like protein OS=Dictyostelium discoideum GN=DDB_0187875 PE=4 SV=1	tr|Q54J53|Q54J53_DICDI	56 kDa		0
Beta-lactamase family protein OS=Dictyostelium discoideum GN=DDB_G0294597 PE=4 SV=1	tr|B0G0Z7|B0G0Z7_DICDI	49 kDa		3
26S protease regulatory subunit 4 homolog OS=Dictyostelium discoideum GN=psmC1 PE=1 SV=1	sp|Q55BV5|PRS4_DICDI	49 kDa	TRUE	0
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0189485 PE=4 SV=1	tr|Q55GD7|Q55GD7_DICDI	16 kDa		7
50S ribosomal protein L5.	sp|P62399|RL5_ECOLI	20 kDa		4
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_G0284705 PE=4 SV=1	tr|Q54P88|Q54P88_DICDI	50 kDa		4
Rho-related protein racC OS=Dictyostelium discoideum GN=racC PE=1 SV=1	sp|P34149|RACC_DICDI	22 kDa	TRUE	6
"Peptidyl-prolyl cis-trans isomerase D, mitochondrial OS=Dictyostelium discoideum GN=cypD PE=1 SV=1"	sp|Q9UA41|PPID_DICDI	19 kDa	TRUE	5
UDP-glucose 4-epimerase OS=Dictyostelium discoideum GN=galE PE=1 SV=1	sp|Q553X7|GALE_DICDI	38 kDa		0
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_G0287403 PE=4 SV=1	tr|Q54KD3|Q54KD3_DICDI	17 kDa		5
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0188832 PE=4 SV=1	tr|Q54G88|Q54G88_DICDI	43 kDa		7
"Fructose-1,6-bisphosphatase OS=Dictyostelium discoideum GN=fbp PE=3 SV=1"	sp|Q6RYT0|F16P_DICDI	38 kDa		0
Eukaryotic translation initiation factor 2A OS=Dictyostelium discoideum GN=eif2a PE=3 SV=1	sp|Q54PV7|EIF2A_DICDI	68 kDa		0
rRNA 2'-O-methyltransferase fibrillarin OS=Dictyostelium discoideum GN=fbl PE=3 SV=1	sp|Q55CW0|FBRL_DICDI	35 kDa		4
V-type proton ATPase subunit G OS=Dictyostelium discoideum GN=atp6v1g PE=1 SV=2	sp|Q54Z13|VATG_DICDI	12 kDa		9
Casein kinase II subunit alpha OS=Dictyostelium discoideum GN=casK PE=2 SV=1	sp|Q02720|CSK2A_DICDI	40 kDa		5
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0167377 PE=4 SV=1	tr|Q86I71|Q86I71_DICDI	10 kDa		7
Putative thioredoxin-5 OS=Dictyostelium discoideum GN=trxE PE=3 SV=1	sp|Q54KN7|THIO5_DICDI	12 kDa		6
Probable serine/threonine-protein kinase gdt2 OS=Dictyostelium discoideum GN=gdt2 PE=2 SV=1	rsp|Q55CZ1|GDT2_DICDI	185 kDa		2
SH3 domain-containing protein OS=Dictyostelium discoideum GN=DDB_G0291984 PE=4 SV=1	tr|Q54DN5|Q54DN5_DICDI (+1)	133 kDa		0
Eukaryotic peptide chain release factor subunit 1 OS=Dictyostelium discoideum GN=erf1 PE=2 SV=2	sp|Q9BMX0|ERF1_DICDI	49 kDa	TRUE	5
Phox domain-containing protein OS=Dictyostelium discoideum GN=vps5 PE=1 SV=1	tr|Q86IF6|Q86IF6_DICDI	62 kDa		2
Malate dehydrogenase (EC 1.1.1.37).	sp|P61889|MDH_ECOLI	32 kDa		3
Histone H1 OS=Dictyostelium discoideum GN=H1 PE=1 SV=3	sp|P54671|H1_DICDI	19 kDa		6
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0189671 PE=4 SV=1	tr|Q55FU1|Q55FU1_DICDI	31 kDa		0
Gelsolin-related protein of 125 kDa OS=Dictyostelium discoideum GN=gnrA PE=1 SV=1	sp|O96923|GNRA_DICDI	125 kDa		0
Short-chain dehydrogenase/reductase family protein OS=Dictyostelium discoideum GN=DDB_0190188 PE=3 SV=1	tr|Q55E92|Q55E92_DICDI	31 kDa		3
Ribosome maturation protein SBDS OS=Dictyostelium discoideum GN=sbds PE=3 SV=2	sp|Q86KZ5|SBDS_DICDI	31 kDa		0
Kinesin-related protein 1 OS=Dictyostelium discoideum GN=kif1 PE=1 SV=1	sp|Q9NGQ2|KIF1_DICDI	248 kDa		0
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0167901 PE=3 SV=1	tr|Q86A74|Q86A74_DICDI	48 kDa		5
Interaptin OS=Dictyostelium discoideum GN=abpD PE=1 SV=1	sp|O76329|ACTNB_DICDI	204 kDa		0
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0184335 PE=4 SV=1	tr|Q54DD1|Q54DD1_DICDI	48 kDa		3
Heat shock cognate 70 kDa protein 3 OS=Dictyostelium discoideum GN=DDB_G0293674 PE=3 SV=1	sp|Q54BE0|HS7C3_DICDI	70 kDa	TRUE	0
50S ribosomal protein L4.	sp|P60723|RL4_ECOLI	22 kDa		6
Short-chain dehydrogenase/reductase family protein OS=Dictyostelium discoideum GN=DDB_0168497 PE=4 SV=1	tr|Q75JE7|Q75JE7_DICDI	38 kDa		2
"Probable acetylornithine aminotransferase, mitochondrial OS=Dictyostelium discoideum GN=argD PE=3 SV=1"	sp|Q55DT8|ARGD_DICDI	50 kDa		0
Formate acetyltransferase 1 (EC 2.3.1.54	sp|P09373|PFLB_ECOLI	85 kDa	TRUE	0
50S ribosomal protein L2.	sp|P60422|RL2_ECOLI	30 kDa	TRUE	4
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0202316 PE=4 SV=1	tr|Q55EU1|Q55EU1_DICDI	46 kDa		0
Methionine synthase (EC 2.1.1.13) (5-met	sp|P13009|METH_ECOLI	136 kDa	TRUE	0
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0187641 PE=4 SV=1	tr|Q54JU2|Q54JU2_DICDI	27 kDa		0
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0216797 PE=4 SV=1	tr|Q55BE3|Q55BE3_DICDI	28 kDa		0
NAD-dependent epimerase/dehydratase family protein OS=Dictyostelium discoideum GN=DDB_0169112 PE=1 SV=1	tr|Q86AQ3|Q86AQ3_DICDI	37 kDa	TRUE	0
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0216653 PE=4 SV=2	tr|Q55E22|Q55E22_DICDI	110 kDa		0
FK506-binding protein 1 OS=Dictyostelium discoideum GN=fkbp1 PE=3 SV=1	sp|Q554J3|FKBP1_DICDI	11 kDa		0
Developmentally-regulated GTP-binding protein 2 homolog OS=Dictyostelium discoideum GN=drg2 PE=3 SV=1	sp|Q54WT4|DRG2_DICDI	41 kDa		3
Dihydroorotate dehydrogenase OS=Dictyostelium discoideum GN=pyr4 PE=3 SV=2	sp|P07670|PYRD_DICDI	41 kDa		0
Thioredoxin-3 OS=Dictyostelium discoideum GN=trxC PE=1 SV=2	sp|P29447|THIO3_DICDI	12 kDa		0
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0205566 PE=4 SV=1	tr|Q54U01|Q54U01_DICDI	93 kDa	TRUE	0
Ubiquitin carboxyl-terminal hydrolase A OS=Dictyostelium discoideum GN=ubpA PE=2 SV=2	sp|P54201|UBPA_DICDI	95 kDa	TRUE	2
Protein MEMO1 homolog OS=Dictyostelium discoideum GN=memo1 PE=3 SV=1	sp|Q54NZ1|MEMO1_DICDI	33 kDa	TRUE	3
Ras-related GTP-binding protein A OS=Dictyostelium discoideum GN=ragA PE=2 SV=1	sp|Q54IK1|RRAGA_DICDI	35 kDa		4
Twinfilin OS=Dictyostelium discoideum GN=twfA PE=1 SV=1	sp|Q869T1|TWF_DICDI	38 kDa		5
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0189868 PE=4 SV=1	tr|Q55F85|Q55F85_DICDI	30 kDa		0
Translation initiation factor IF-3 [Cont	sp|P0A707|IF3_ECOLI	21 kDa		6
Dihydrofolate reductase OS=Dictyostelium discoideum GN=DDB_G0286755 PE=3 SV=1	tr|Q54LA0|Q54LA0_DICDI	23 kDa		0
Fatty acyl-CoA synthetase B OS=Dictyostelium discoideum GN=fcsB PE=2 SV=1	sp|Q1ZXQ4|FCSB_DICDI	76 kDa	TRUE	0
Probable cytochrome b-c1 complex subunit 7 OS=Dictyostelium discoideum GN=DDB_G0286171 PE=3 SV=1	sp|Q54M82|QCR7_DICDI	13 kDa		5
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0167842 PE=4 SV=1	tr|Q86J14|Q86J14_DICDI	35 kDa		2
Serine/threonine-protein phosphatase 2A regulatory subunit phr2AB OS=Dictyostelium discoideum GN=phr2AB PE=3 SV=1	sp|Q54Q99|PH2AB_DICDI	55 kDa	TRUE	0
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0218485 PE=4 SV=1	rtr|Q54R63|Q54R63_DICDI	210 kDa	TRUE	0
Ethanolamine-phosphate cytidylyltransferase OS=Dictyostelium discoideum GN=pctA PE=1 SV=1	sp|Q55BZ4|PCY2_DICDI	40 kDa		3
Protein dcd1A OS=Dictyostelium discoideum GN=dcd1A PE=2 SV=1	sp|Q55BZ5|DCD1A_DICDI	49 kDa	TRUE	0
Probable oligoribonuclease OS=Dictyostelium discoideum GN=rexo2-1 PE=3 SV=1	sp|Q556Y2|ORN_DICDI	22 kDa		2
Eukaryotic translation initiation factor 2 subunit 2 OS=Dictyostelium discoideum GN=eif2s2 PE=3 SV=1	sp|Q54T27|IF2B_DICDI	36 kDa		3
Arrestin domain-containing protein C OS=Dictyostelium discoideum GN=adcC PE=3 SV=1	sp|Q55CH0|ADCC_DICDI	74 kDa		0
Inositol monophosphatase OS=Dictyostelium discoideum GN=impa1 PE=3 SV=1	sp|Q54U72|IMPA1_DICDI	30 kDa		0
Transmembrane protein OS=Dictyostelium discoideum GN=mpdu1 PE=4 SV=1	tr|B0G0Z6|B0G0Z6_DICDI	26 kDa	TRUE	0
FK506-binding protein 4 OS=Dictyostelium discoideum GN=fkbp4 PE=1 SV=1	sp|Q54NB6|FKBP4_DICDI	40 kDa	TRUE	2
Short-chain dehydrogenase/reductase family protein OS=Dictyostelium discoideum GN=DDB_G0289059 PE=4 SV=2	tr|Q54I22|Q54I22_DICDI	37 kDa		0
Dynamin-like protein A OS=Dictyostelium discoideum GN=dlpA PE=2 SV=1	sp|Q55F94|DLPA_DICDI (+1)	100 kDa		0
Sepiapterin reductase OS=Dictyostelium discoideum GN=sprA PE=1 SV=1	sp|Q54GP3|SPRE_DICDI	30 kDa		0
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0216612 PE=4 SV=1	tr|Q55F29|Q55F29_DICDI	76 kDa		0
Acyl-CoA oxidase OS=Dictyostelium discoideum GN=DDB_G0286669 PE=4 SV=2	tr|Q54LF1|Q54LF1_DICDI	75 kDa		0
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0184469 PE=3 SV=1	tr|Q54D03|Q54D03_DICDI	32 kDa		0
Coatomer subunit beta OS=Dictyostelium discoideum GN=copb PE=2 SV=2	sp|Q23924|COPB_DICDI	103 kDa	TRUE	0
Putative protein disulfide-isomerase DDB_G0275025 OS=Dictyostelium discoideum GN=DDB_G0275025 PE=1 SV=1	sp|Q869Z0|Y5025_DICDI	47 kDa		0
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0189002 PE=4 SV=1	tr|Q54FR8|Q54FR8_DICDI	92 kDa		0
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0183829 PE=4 SV=1	tr|Q54EU0|Q54EU0_DICDI	46 kDa		0
IPT/TIG domain-containing protein OS=Dictyostelium discoideum GN=DDB_G0269040 PE=4 SV=2	tr|Q55F41|Q55F41_DICDI	198 kDa		0
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0218286 PE=4 SV=1	tr|Q54UB6|Q54UB6_DICDI	65 kDa		0
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0204678 PE=4 SV=1	tr|Q54TE4|Q54TE4_DICDI	17 kDa		0
DNA gyrase subunit B (EC 5.99.1.3).	sp|P0AES6|GYRB_ECOLI	90 kDa		2
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0204139 PE=1 SV=1	tr|Q54U38|Q54U38_DICDI	30 kDa	TRUE	4
Recoverin family protein DDB_G0274781 OS=Dictyostelium discoideum GN=DDB_G0274781 PE=3 SV=1	sp|Q86A72|Y4781_DICDI	25 kDa	TRUE	3
Calcium up-regulated protein G OS=Dictyostelium discoideum GN=cupG PE=2 SV=1	sp|Q7Z1Z9|CUPG_DICDI	85 kDa	TRUE	0
Zinc-containing alcohol dehydrogenase OS=Dictyostelium discoideum GN=DDB_0168737 PE=4 SV=1	tr|Q75JW6|Q75JW6_DICDI	35 kDa	TRUE	3
PXMP2/4 family protein 3 OS=Dictyostelium discoideum GN=DDB_G0290223 PE=3 SV=1	sp|Q54GD8|PX24C_DICDI	21 kDa	TRUE	2
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0191758 PE=4 SV=1	tr|Q54CB7|Q54CB7_DICDI	104 kDa		0
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0167144 PE=4 SV=1	tr|Q86IE7|Q86IE7_DICDI	34 kDa		2
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0188514 PE=4 SV=1	tr|Q54H66|Q54H66_DICDI	10 kDa		2
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0188677 PE=4 SV=1	tr|Q54GQ3|Q54GQ3_DICDI	43 kDa		3
NEDD8-activating enzyme E1 catalytic subunit OS=Dictyostelium discoideum GN=uba3 PE=3 SV=1	sp|Q54QG9|UBA3_DICDI	49 kDa		4
GCN5-related N-acetyltransferase OS=Dictyostelium discoideum GN=DDB_0219556 PE=4 SV=1	tr|Q54G61|Q54G61_DICDI	36 kDa		3
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0167453 PE=4 SV=1	tr|Q86I17|Q86I17_DICDI	31 kDa		2
ATP synthase B chain (EC 3.6.3.14).	sp|P0ABA0|ATPF_ECOLI	17 kDa		0
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0218666 PE=4 SV=1	tr|Q54NS5|Q54NS5_DICDI	23 kDa		7
Mitochondrial GTPase OS=Dictyostelium discoideum GN=gemA PE=4 SV=1	tr|Q55G45|Q55G45_DICDI	75 kDa		0
Rod shape-determining protein mreB.	sp|P0A9X4|MREB_ECOLI	37 kDa		5
Transmembrane emp24 domain-containing protein A OS=Dictyostelium discoideum GN=empA PE=3 SV=1	sp|Q769F9|TMEDA_DICDI	23 kDa		0
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0202577 PE=4 SV=1	tr|Q553T2|Q553T2_DICDI	76 kDa		4
Deoxyhypusine hydroxylase OS=Dictyostelium discoideum GN=dohh-1 PE=3 SV=1	sp|Q556G4|DOHH_DICDI	35 kDa		7
Enoyl-CoA hydratase/isomerase domain-containing protein OS=Dictyostelium discoideum GN=DDB_0187604 PE=4 SV=1	tr|Q54JY1|Q54JY1_DICDI	48 kDa		3
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0217591 PE=4 SV=1	tr|Q554M4|Q554M4_DICDI	21 kDa		0
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0216970 PE=4 SV=2	rtr|Q86KX8|Q86KX8_DICDI	210 kDa		0
Vacuolar protein sorting-associated protein 45 OS=Dictyostelium discoideum GN=vps45 PE=1 SV=1	sp|Q54GE3|VPS45_DICDI	65 kDa		2
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0216772 PE=4 SV=1	tr|Q55BQ2|Q55BQ2_DICDI	35 kDa		3
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0205633 PE=4 SV=1	tr|Q54TT8|Q54TT8_DICDI	132 kDa	TRUE	0
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0201928 PE=4 SV=1	tr|Q55CJ5|Q55CJ5_DICDI	119 kDa	TRUE	0
30S ribosomal protein S5.	sp|P0A7W1|RS5_ECOLI	17 kDa		3
Serine/threonine-protein kinase pakC OS=Dictyostelium discoideum GN=pakC PE=1 SV=1	sp|Q55GV3|PAKC_DICDI	56 kDa	TRUE	2
ABC transporter-related protein OS=Dictyostelium discoideum GN=abcF1 PE=4 SV=1	tr|Q8T6B8|Q8T6B8_DICDI	80 kDa		2
Ankyrin repeat-containing protein OS=Dictyostelium discoideum GN=comE PE=4 SV=1	rtr|Q54TS2|Q54TS2_DICDI	196 kDa	TRUE	2
Dihydrolipoyl dehydrogenase (EC 1.8.1.4)	sp|P0A9P0|DLDH_ECOLI	51 kDa	TRUE	4
EGF-like domain-containing protein OS=Dictyostelium discoideum GN=DDB_G0270718 PE=4 SV=1	tr|C7FZX1|C7FZX1_DICDI	158 kDa		0
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0218551 PE=4 SV=1	tr|Q54QE3|Q54QE3_DICDI	100 kDa		0
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0204670 PE=4 SV=1	rtr|Q54TF2|Q54TF2_DICDI	89 kDa		0
Coiled-coil domain-containing protein 93 homolog OS=Dictyostelium discoideum GN=DDB_G0292680 PE=3 SV=1	sp|Q54CV3|CCD93_DICDI	74 kDa		0
EGF-like domain-containing protein OS=Dictyostelium discoideum GN=DDB_G0289949 PE=4 SV=2	tr|Q54GR7|Q54GR7_DICDI	164 kDa	TRUE	0
Probable DNA topoisomerase 2 OS=Dictyostelium discoideum GN=top2 PE=3 SV=1	sp|Q55BP5|TOP2_DICDI	171 kDa		0
Alkaline phosphatase OS=Dictyostelium discoideum GN=alp PE=3 SV=1	tr|Q54Y02|Q54Y02_DICDI	61 kDa		0
Isochorismatase family protein 1B OS=Dictyostelium discoideum GN=DDB_G0284901 PE=3 SV=1	sp|Q54NZ8|ISC1B_DICDI	24 kDa		0
Inosine-5'-monophosphate dehydrogenase (	sp|P0ADG7|IMDH_ECOLI	52 kDa		2
Cell surface glycoprotein gp138A OS=Dictyostelium discoideum GN=GP138A PE=1 SV=1	sp|P34115|G13A_DICDI	81 kDa		0
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0215298 PE=4 SV=1	tr|Q54XE5|Q54XE5_DICDI	45 kDa		0
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0205874 PE=4 SV=1	tr|Q54W38|Q54W38_DICDI	102 kDa		0
Pre-mRNA-processing factor 19 homolog OS=Dictyostelium discoideum GN=prp19 PE=3 SV=1	sp|Q7KWK5|PRP19_DICDI	57 kDa		0
Probable serine/threonine-protein kinase sky1 OS=Dictyostelium discoideum GN=sky1 PE=3 SV=1	sp|Q86A12|SKY1_DICDI	73 kDa		5
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0203385 PE=4 SV=1	tr|Q54ZK3|Q54ZK3_DICDI	123 kDa	TRUE	0
60S ribosomal protein L34 OS=Dictyostelium discoideum GN=rpl34 PE=3 SV=1	sp|Q54LV8|RL34_DICDI	14 kDa		0
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0205464 PE=4 SV=1	tr|Q54Y28|Q54Y28_DICDI	93 kDa		0
