Identified Proteins (942)	Accession Number	Molecular Weight	Protein Grouping Ambiguity	GST-GppNHp
Exportin-2 OS=Homo sapiens GN=CSE1L PE=2 SV=1	tr|B4DUC5|B4DUC5_HUMAN	85 kDa	TRUE	0
40S ribosomal protein S17 (Fragment) OS=Homo sapiens GN=RPS17 PE=3 SV=1	tr|H0YK46|H0YK46_HUMAN (+1)	22 kDa		0
Transcription factor EB OS=Homo sapiens GN=TFEB PE=4 SV=1	tr|B0QYS7|B0QYS7_HUMAN	62 kDa	TRUE	0
Cytochrome b561 OS=Escherichia coli GN=cybB PE=4 SV=1	tr|E2QLX5|E2QLX5_ECOLX	20 kDa		0
Undecaprenyl phosphate-alpha-4-amino-4-deoxy-L-arabinose arabinosyl transferase OS=Escherichia coli GN=arnT PE=3 SV=1	tr|E2QPC2|E2QPC2_ECOLX	62 kDa		0
Uncharacterized protein yigI OS=Escherichia coli GN=yigI PE=4 SV=1	tr|E2QHZ3|E2QHZ3_ECOLX	17 kDa		0
COP9 signalosome complex subunit 1 OS=Homo sapiens GN=GPS1 PE=4 SV=2	tr|C9JFE4|C9JFE4_HUMAN	53 kDa	TRUE	3
EF-hand calcium-binding domain-containing protein 5 OS=Homo sapiens GN=EFCAB5 PE=4 SV=1	REVtr|F5GYL2|F5GYL2_HUMAN	99 kDa	TRUE	0
Protein LOC100996747 OS=Homo sapiens GN=LOC100996747 PE=4 SV=1	tr|F8VZW7|F8VZW7_HUMAN	13 kDa		0
Ubiquitin-conjugating enzyme E2 N OS=Homo sapiens GN=UBE2N PE=3 SV=1	tr|F8VSD4|F8VSD4_HUMAN (+1)	12 kDa	TRUE	0
Serine/threonine-protein kinase PAK 1 OS=Homo sapiens GN=PAK1 PE=2 SV=1	tr|B3KNX7|B3KNX7_HUMAN (+1)	58 kDa		0
Vacuolar protein sorting-associated protein 26A OS=Homo sapiens GN=VPS26A PE=4 SV=1	tr|F5H4L7|F5H4L7_HUMAN	37 kDa	TRUE	3
GMP synthase [glutamine-hydrolyzing] OS=Homo sapiens GN=GMPS PE=4 SV=1	tr|F8W720|F8W720_HUMAN	66 kDa		2
"6-phosphofructokinase, muscle type (Fragment) OS=Homo sapiens GN=PFKM PE=4 SV=1"	tr|F8VP00|F8VP00_HUMAN	19 kDa	TRUE	0
Protein yhbN OS=Escherichia coli GN=yhbN PE=4 SV=1	tr|C3SS92|C3SS92_ECOLX	20 kDa		0
Proline--tRNA ligase OS=Escherichia coli GN=proS PE=3 SV=1	tr|E2QFC2|E2QFC2_ECOLX	64 kDa		0
Protein kinase C and casein kinase substrate in neurons 2 (Fragment) OS=Homo sapiens GN=PACSIN2 PE=4 SV=1	tr|B0QYG7|B0QYG7_HUMAN (+1)	18 kDa		2
Protein transport protein Sec16B OS=Homo sapiens GN=SEC16B PE=4 SV=1	tr|E9PK14|E9PK14_HUMAN	71 kDa		0
"Aspartate--tRNA ligase, cytoplasmic (Fragment) OS=Homo sapiens GN=DARS PE=4 SV=1"	tr|C9J7S3|C9J7S3_HUMAN (+1)	20 kDa		2
Uncharacterized protein OS=Escherichia coli GN=yobH PE=4 SV=1	tr|E2QN29|E2QN29_ECOLX	9 kDa		0
SsrA-binding protein OS=Escherichia coli GN=smpB PE=3 SV=1	tr|Q5CCH3|Q5CCH3_ECOLX	18 kDa		0
"Asparagine--tRNA ligase, cytoplasmic OS=Homo sapiens GN=NARS PE=2 SV=1"	tr|B4DN60|B4DN60_HUMAN	35 kDa		2
Unconventional myosin-Ie (Fragment) OS=Homo sapiens GN=MYO1E PE=4 SV=1	tr|H0YLE5|H0YLE5_HUMAN	22 kDa		2
Inner membrane protein ylac OS=Escherichia coli GN=ylac PE=4 SV=1	tr|E2QH52|E2QH52_ECOLX	18 kDa		0
Uncharacterized protein OS=Escherichia coli GN=yghW PE=4 SV=1	tr|C3SUR7|C3SUR7_ECOLX	11 kDa		0
Annexin (Fragment) OS=Homo sapiens GN=ANXA2 PE=3 SV=1	tr|H0YM50|H0YM50_HUMAN	28 kDa	TRUE	0
DBIRD complex subunit KIAA1967 (Fragment) OS=Homo sapiens GN=KIAA1967 PE=4 SV=1	tr|E5RFJ3|E5RFJ3_HUMAN (+2)	18 kDa		0
Orotate phosphoribosyltransferase OS=Homo sapiens GN=UMPS PE=2 SV=1	tr|B5LY68|B5LY68_HUMAN	42 kDa		2
Single Ig IL-1-related receptor OS=Homo sapiens GN=SIGIRR PE=4 SV=1	tr|E9PLI8|E9PLI8_HUMAN	26 kDa		0
"Cysteine--tRNA ligase, cytoplasmic OS=Homo sapiens GN=CARS PE=4 SV=1"	tr|E9PLP0|E9PLP0_HUMAN	14 kDa	TRUE	2
Uncharacterized protein ydhJ OS=Escherichia coli GN=ydhJ PE=4 SV=1	tr|E2QMK8|E2QMK8_ECOLX	32 kDa		0
Coatomer subunit gamma-2 OS=Homo sapiens GN=COPG2 PE=4 SV=1	tr|F6X838|F6X838_HUMAN	28 kDa		0
Acetolactate synthase III small subunit OS=Escherichia coli GN=ilvH PE=4 SV=1	tr|C3TQT7|C3TQT7_ECOLX	18 kDa		0
50S ribosomal protein L32 OS=Escherichia coli GN=rpmF PE=3 SV=1	tr|C3TE02|C3TE02_ECOLX	6 kDa		0
Inner membrane protein yccF OS=Escherichia coli GN=yccF PE=4 SV=1	tr|E2QJG5|E2QJG5_ECOLX	16 kDa		0
Serine/threonine-protein phosphatase (Fragment) OS=Homo sapiens GN=PPP1CA PE=3 SV=1	tr|E9PMD7|E9PMD7_HUMAN	29 kDa	TRUE	11
Uncharacterized protein OS=Escherichia coli GN=ycfJ PE=4 SV=1	REVtr|E2QKJ4|E2QKJ4_ECOLX	19 kDa		0
Twin-arginine leader-binding protein dmsD OS=Escherichia coli GN=dmsD PE=4 SV=1	tr|E2QMF4|E2QMF4_ECOLX	23 kDa		0
