Identified Proteins (993)	Accession Number	Molecular Weight	Protein Grouping Ambiguity	Galpha1
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0189721 PE=4 SV=1	tr|Q55FN8|Q55FN8_DICDI	61 kDa	TRUE	3
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0202072 PE=4 SV=1	tr|Q55GT0|Q55GT0_DICDI	76 kDa		2
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0189883 PE=4 SV=1	tr|Q55F70|Q55F70_DICDI	61 kDa		2
Calcium up-regulated protein C OS=Dictyostelium discoideum GN=cupC PE=2 SV=1	sp|Q7Z202|CUPC_DICDI	85 kDa	TRUE	17
"Elongation factor G, mitochondrial OS=Dictyostelium discoideum GN=gfm1 PE=3 SV=1"	sp|Q55E94|EFGM_DICDI	82 kDa	TRUE	2
Mitotic checkpoint protein bub3 OS=Dictyostelium discoideum GN=bub3 PE=3 SV=1	sp|Q54DM1|BUB3_DICDI	37 kDa		2
Probable alpha-galactosidase OS=Dictyostelium discoideum GN=melA PE=3 SV=1	sp|Q55B10|AGAL_DICDI	42 kDa		2
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0187641 PE=4 SV=1	tr|Q54JU2|Q54JU2_DICDI	27 kDa		2
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0189329 PE=4 SV=1	tr|Q55GV0|Q55GV0_DICDI	55 kDa		2
Cystatin-A2 OS=Dictyostelium discoideum GN=cpiB PE=2 SV=1	sp|Q65YR7|CYTA2_DICDI	10 kDa		2
Proteasome subunit alpha type-3 OS=Dictyostelium discoideum GN=psmA3 PE=2 SV=2	sp|Q27563|PSA3_DICDI	27 kDa		2
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0185753 PE=4 SV=1	tr|Q54QD6|Q54QD6_DICDI	18 kDa		2
30S ribosomal protein S15.	sp|P0ADZ4|RS15_ECOLI	10 kDa		2
3-hydroxydecanoyl-[acyl-carrier-protein]	sp|P0A6Q3|FABA_ECOLI	19 kDa		2
WH2 domain-containing protein OS=Dictyostelium discoideum GN=DDB_G0269708 PE=4 SV=1	tr|Q55DC0|Q55DC0_DICDI	31 kDa		2
Lysosome membrane protein 2-A OS=Dictyostelium discoideum GN=lmpA PE=1 SV=1	sp|Q9XYS8|LMPA_DICDI	88 kDa		2
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0188436 PE=3 SV=1	tr|Q54HG8|Q54HG8_DICDI	71 kDa		2
50S ribosomal protein L33.	sp|P0A7N9|RL33_ECOLI	6 kDa		2
Aminoacyl-histidine dipeptidase (EC 3.4.	sp|P15288|PEPD_ECOLI	53 kDa		3
Probable cytochrome b-c1 complex subunit 6 OS=Dictyostelium discoideum GN=uqcrh PE=3 SV=1	sp|Q1ZXP3|QCR6_DICDI	8 kDa		2
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0189873 PE=4 SV=1	tr|Q55F80|Q55F80_DICDI	99 kDa		2
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_G0289171 PE=4 SV=1	tr|Q54HW8|Q54HW8_DICDI	39 kDa		2
"Dynein light chain, cytoplasmic OS=Dictyostelium discoideum GN=dlcB PE=3 SV=1"	sp|Q86A88|DYL_DICDI	11 kDa		2
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0217961 PE=4 SV=1	tr|Q76P10|Q76P10_DICDI	19 kDa		2
Probable serine/threonine-protein phosphatase 2A activator 1 OS=Dictyostelium discoideum GN=ppp2r4A PE=3 SV=1	sp|Q55CJ3|PTPA1_DICDI	38 kDa		2
Endoribonuclease L-PSP domain-containing protein OS=Dictyostelium discoideum GN=DDB_0205409 PE=4 SV=1	tr|Q54Y82|Q54Y82_DICDI	86 kDa		2
Geranylgeranyl transferase type-1 subunit beta OS=Dictyostelium discoideum GN=pggt1b PE=2 SV=1	sp|Q55DA3|PGTB1_DICDI	39 kDa		2
BRCT domain-containing protein OS=Dictyostelium discoideum GN=xrcc1 PE=4 SV=1	tr|Q86H44|Q86H44_DICDI	107 kDa		2
Probable ubiquitin carboxyl-terminal hydrolase OS=Dictyostelium discoideum GN=uch1 PE=3 SV=1	sp|Q54T48|UCHL_DICDI	29 kDa		2
Rho-related protein racH OS=Dictyostelium discoideum GN=racH PE=3 SV=1	sp|Q9GPR7|RACH_DICDI	22 kDa		2
Transketolase 1 (EC 2.2.1.1) (TK 1).	sp|P27302|TKT1_ECOLI	72 kDa		2
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0169413 PE=4 SV=1	tr|Q7KWR1|Q7KWR1_DICDI	41 kDa	TRUE	2
PTS system N-acetylglucosamine-specific	sp|P09323|PTW3C_ECOLI	68 kDa		2
